일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,26.126.226.326.326.326.226.026.225.825.825.825.825.825.825.925.925.925.925.925.825.825.725.725.7,26.3,25.9,25.7
02,25.725.725.725.725.725.625.625.625.525.425.425.325.325.325.325.325.325.325.425.325.325.325.225.2,25.7,25.4,25.2
03,25.225.225.225.225.225.325.325.325.225.225.225.225.125.125.225.225.225.225.325.325.325.325.325.2,25.3,25.2,25.1
04,25.225.225.325.425.425.425.525.425.625.725.725.725.725.725.725.825.925.826.126.326.326.326.326.4,26.4,25.8,25.2
05,26.426.426.426.526.526.626.626.626.726.726.726.726.626.626.626.626.726.626.927.027.127.127.127.1,27.1,26.7,26.4
06,27.227.227.227.127.227.227.227.227.327.327.327.227.127.127.027.027.027.0,27.3,27.2,27.0
07,27.127.127.026.926.726.626.526.626.526.826.927.027.027.027.0,27.1,26.9,26.5
08,26.826.826.826.726.726.726.726.727.027.027.027.026.926.826.726.626.526.626.526.526.626.726.726.7,27.0,26.7,26.5
09,26.526.426.426.426.426.526.526.526.526.626.626.526.526.526.626.626.626.626.726.826.826.926.926.9,26.9,26.6,26.4
10,26.926.926.926.927.027.027.027.027.027.027.027.027.027.027.027.027.027.027.227.227.227.227.327.3,27.3,27.0,26.9
11,27.327.327.427.427.427.427.427.427.527.627.627.727.827.928.028.128.228.128.228.228.128.128.128.1,28.2,27.8,27.3
12,28.028.028.028.028.028.028.028.028.028.028.028.028.028.028.028.028.028.028.028.128.128.128.128.1,28.1,28.0,28.0
13,28.028.028.028.028.028.028.028.028.228.228.228.128.128.028.128.128.228.128.328.328.428.428.428.4,28.4,28.2,28.0
14,28.328.328.328.328.328.328.328.328.428.428.328.428.328.328.228.128.128.128.328.228.228.128.128.1,28.4,28.3,28.1
15,28.128.228.228.228.228.228.228.227.927.827.727.828.028.128.228.228.128.228.127.927.727.627.627.6,28.2,28.0,27.6
16,27.627.727.727.827.828.028.028.027.927.927.927.927.927.927.928.027.928.027.928.128.228.027.927.9,28.2,27.9,27.6
17,27.928.028.028.128.128.128.228.128.328.328.328.328.328.328.328.128.128.128.028.028.328.228.228.1,28.3,28.2,27.9
18,28.128.128.228.228.228.228.228.228.228.128.028.028.028.028.128.128.128.128.028.128.128.028.028.0,28.2,28.1,28.0
19,28.028.028.028.028.028.028.228.028.127.927.827.827.827.827.927.928.027.928.028.028.028.128.027.9,28.2,28.0,27.8
20,27.927.927.927.928.028.028.128.028.028.027.827.827.827.827.827.827.927.828.028.028.028.028.027.9,28.1,27.9,27.8
21,27.827.827.927.927.928.028.128.028.028.027.827.727.727.727.727.727.827.727.928.127.928.028.027.9,28.1,27.9,27.7
22,27.827.827.827.827.927.927.927.928.028.027.927.727.727.727.727.627.727.627.827.927.928.028.028.0,28.1,27.8,27.6
23,27.927.927.927.927.928.028.028.028.027.928.028.028.028.028.028.028.028.028.028.028.028.028.028.0,28.1,28.0,27.9
24,28.028.028.028.028.028.128.128.128.128.228.028.228.028.027.927.927.927.927.927.928.027.827.927.9,28.2,28.0,27.8
25,27.927.927.927.927.827.827.827.827.727.827.928.027.927.827.927.928.027.928.128.228.328.428.428.5,28.5,28.0,27.7
26,28.528.428.428.428.428.428.428.428.428.428.428.428.428.328.4,28.5,28.4,28.3
27,28.228.228.228.328.228.228.328.128.327.827.927.927.927.927.9,28.3,28.1,27.8
28,27.927.928.028.128.027.927.927.927.727.827.827.928.128.128.028.028.128.027.627.527.527.527.627.6,28.1,27.8,27.5
29,27.627.627.727.827.927.727.627.727.427.427.427.527.627.827.927.827.827.828.728.828.828.728.628.6,28.8,27.9,27.4
30,28.728.728.828.828.828.828.828.828.828.728.728.828.728.828.628.228.328.228.528.728.728.728.728.7,28.8,28.7,28.2
31,28.728.728.728.728.628.628.628.628.528.428.428.428.428.528.628.528.428.528.328.228.228.228.128.1,28.7,28.4,28.1
TOTAL,27.427.527.527.527.527.527.527.527.527.527.527.527.527.527.527.427.427.427.527.627.627.627.627.5,27.8,27.5,27.3
