어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)전복,완도,4미,kg,17.4,1,"108,000","45,000","83,300"
(활)전복,완도,13/14미,kg,"3,427.6",1,"23,000","5,000","18,000"
(활)전복,완도,22/23미,kg,142,1,"20,000","7,500","10,300"
(활)전복,완도,40미,kg,"3,228.6",1,"12,000","5,000","8,400"
(활)전복,완도,15/20미,kg,13.9,1,"13,000","10,000","11,800"
(활)전복,완도,9/10미,kg,"1,215.3",1,"42,000","19,000","26,700"
(활)전복,완도,14/15미,kg,"6,006.1",1,"24,000","10,000","18,600"
(활)전복,완도,11미,kg,912.5,1,"27,000","13,000","21,200"
(활)전복,완도,17/18미,kg,"5,023.3",1,"40,000","10,000","16,500"
(활)전복,완도,6/7미,kg,214.3,1,"80,000","23,000","36,100"
(활)전복,완도,14미,kg,913.8,1,"20,000","12,000","17,000"
(활)전복,완도,25/30미,kg,422.2,1,"11,000","7,500","8,700"
(활)전복,완도,19미,kg,23,1,"9,000","9,000","9,000"
(활)전복,완도,15미,kg,"1,259.7",1,"22,000","10,000","16,500"
(활)전복,완도,30/40미,kg,84.7,1,"11,000","8,000","9,200"
(활)전복,완도,25미,kg,"3,085",1,"18,000","6,000","14,600"
(활)전복,완도,20/21미,kg,323,1,"18,000","8,000","12,700"
(활)전복,완도,30/35미,kg,21.7,1,"6,000","6,000","6,000"
(활)전복,완도,5미,kg,18.9,1,"96,000","60,000","83,000"
(활)전복,완도,18/19미,kg,392,1,"17,500","10,000","13,000"
(활)전복,완도,16미,kg,492.6,1,"18,000","11,000","14,400"
(활)전복,완도,29/30미,kg,33.1,1,"10,000","10,000","10,000"
(활)전복,완도,중,kg,"1,347.1",1,"29,000","4,000","12,000"
(활)전복,완도,50/60미,kg,56.6,1,"5,000","4,000","4,400"
(활)전복,완도,12미,kg,"1,629.8",1,"25,000","14,000","19,400"
(활)전복,완도,35/40미,kg,128.9,1,"8,000","4,000","5,000"
(활)전복,완도,32/33미,kg,45.7,1,"8,000","8,000","8,000"
(활)전복,완도,4/5미,kg,117.7,1,"96,000","35,000","48,800"
(활)전복,완도,8/9미,kg,"1,051.4",1,"54,000","18,000","31,000"
(활)전복,완도,9미,kg,500.4,1,"43,000","13,500","25,600"
(활)전복,완도,30미,kg,"3,892.7",1,"18,000","6,000","11,800"
(활)전복,완도,16/17미,kg,"3,630.8",1,"21,000","10,000","16,100"
(활)전복,완도,8미,kg,440.2,1,"56,000","5,000","31,400"
(활)전복,완도,11/12미,kg,"3,000.7",1,"27,500","13,000","21,500"
(활)전복,완도,40/45미,kg,106.5,1,"5,000","5,000","5,000"
(활)전복,완도,24미,kg,676.5,1,"14,000","8,000","9,000"
(활)전복,완도,24/25미,kg,174.4,1,"17,000","10,000","12,700"
(활)전복,완도,소소,kg,218.2,1,"4,000","3,000","3,300"
(활)전복,완도,17미,kg,"1,912.5",1,"19,000","11,000","14,500"
(활)전복,완도,10미,kg,963.2,1,"43,000","13,500","23,800"
(활)전복,완도,3/4미,kg,60.8,1,"125,000","42,000","53,100"
(활)전복,완도,7미,kg,187.9,1,"73,000","15,000","33,000"
(활)전복,완도,18미,kg,"1,091.6",1,"17,500","9,000","13,400"
(활)전복,완도,13미,kg,984.4,1,"24,000","12,000","16,500"
(활)전복,완도,28미,kg,11.6,1,"12,000","12,000","12,000"
(활)전복,완도,7/8미,kg,689,1,"42,000","24,000","35,000"
(활)전복,완도,50미,kg,726,1,"9,000","4,000","5,200"
(활)전복,완도,21/22미,kg,288.5,1,"16,000","10,000","13,400"
(활)전복,완도,19/20미,kg,"2,081.1",1,"20,000","8,000","16,500"
(활)전복,완도,40/50미,kg,46.5,1,"6,000","4,000","4,500"
(활)전복,완도,22미,kg,"1,109.7",1,"17,000","8,000","12,700"
(활)전복,완도,20미,kg,"3,317.4",1,"21,000","9,000","14,700"
(활)전복,완도,6미,kg,51.3,1,"86,000","40,000","56,500"
(활)전복,완도,15/16미,kg,"3,753.1",1,"24,000","5,000","17,100"
(활)전복,완도,소,kg,229.9,1,"7,000","4,000","4,800"
(활)전복,완도,2/3미,kg,4.5,1,"60,000","55,000","57,800"
(활)전복,완도,3미,kg,12.7,1,"130,000","45,000","107,300"
(활)전복,완도,12/13미,kg,"4,026.2",1,"36,000","12,000","19,700"
(활)전복,완도,5/6미,kg,68.2,1,"88,000","30,000","48,100"
(활)전복,완도,23/24미,kg,78.3,1,"13,000","11,500","12,300"
(활)전복,완도,35미,kg,531.3,1,"10,000","6,000","7,900"
(활)전복,완도,10/11미,kg,"2,242",1,"34,000","15,000","23,000"
(냉)전복,완도,소,S/P,36.7,1,"3,000","1,000","2,400"
(냉)전복,완도,중,S/P,312.4,1,"8,000","2,000","3,000"
