일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.31.31.40.91.01.31.41.30.81.50.81.11.91.52.43.94.53.92.62.31.10.41.91.0,4.5,1.7,0.4
02,0.91.01.61.30.61.31.11.30.71.11.41.21.71.21.53.34.03.32.22.41.71.51.41.0,4.0,1.6,0.6
03,1.70.80.80.30.70.80.70.81.14.73.73.42.62.31.91.61.51.61.52.02.42.83.43.0,4.7,1.9,0.3
04,2.92.41.30.81.81.72.21.72.12.00.70.91.11.01.72.02.62.01.71.20.60.61.31.1,2.9,1.6,0.6
05,0.40.50.40.60.91.41.41.42.62.82.43.34.25.14.52.42.22.41.12.81.42.12.41.3,5.1,2.1,0.4
06,2.02.53.83.43.03.53.33.53.31.82.42.93.53.63.52.92.52.92.82.91.71.20.91.0,3.9,2.7,0.9
07,0.70.40.60.50.60.30.90.31.01.11.51.81.92.51.91.61.31.60.71.00.40.20.40.7,2.5,1.0,0.2
08,1.01.81.20.71.20.30.40.30.90.90.71.11.42.31.81.82.01.82.42.21.71.20.81.0,2.4,1.3,0.3
09,2.41.30.80.91.10.70.30.70.80.80.71.41.71.51.71.51.51.50.81.00.80.80.70.8,2.4,1.1,0.3
10,1.10.61.02.11.10.40.60.41.62.42.62.83.04.34.05.04.95.02.12.32.60.90.51.2,5.0,2.1,0.4
11,0.61.72.01.41.00.50.80.51.11.03.14.65.44.83.73.83.43.82.64.54.03.02.11.8,5.4,2.5,0.5
12,0.72.01.40.81.41.41.71.42.73.95.05.65.44.95.16.46.56.45.54.73.82.31.01.0,6.5,3.4,0.7
13,1.41.01.21.31.52.42.12.44.45.35.15.04.74.85.15.65.65.64.94.02.61.71.51.9,5.6,3.4,1.0
14,1.61.41.91.31.41.54.11.50.92.44.14.14.84.14.53.43.43.43.92.82.21.21.41.0,4.8,2.7,0.9
15,1.01.51.42.61.51.41.81.42.01.82.83.23.23.84.13.12.63.11.21.71.41.11.41.4,4.1,2.1,1.0
16,0.72.21.41.21.52.02.12.01.61.51.52.73.22.63.83.63.73.64.14.42.81.81.21.2,4.4,2.3,0.7
17,0.60.30.70.60.61.00.91.01.52.74.74.55.24.53.73.64.43.64.64.52.72.11.10.9,5.2,2.6,0.3
18,1.01.41.31.61.21.81.61.82.83.54.25.25.95.45.96.05.76.05.64.75.63.93.13.0,6.3,3.7,1.0
19,2.41.41.01.21.51.92.31.93.74.04.14.24.33.73.43.66.13.64.93.92.41.62.21.7,6.1,3.1,1.0
20,2.21.50.40.71.00.91.40.92.82.02.93.83.63.53.04.34.54.32.82.71.74.22.90.9,4.5,2.4,0.4
21,1.42.54.81.11.31.81.31.82.01.00.90.91.51.81.31.41.81.41.11.61.91.91.41.0,4.8,1.7,0.9
22,0.81.21.10.91.23.02.43.01.21.41.91.71.84.85.88.58.68.57.56.25.34.74.04.0,8.9,3.7,0.8
23,3.83.94.04.13.63.52.03.52.12.83.33.02.93.53.32.72.42.72.11.51.10.50.70.6,4.1,2.6,0.5
24,0.81.11.20.50.70.80.80.80.70.80.81.01.10.71.11.11.21.11.31.01.00.71.70.9,1.7,1.0,0.5
25,0.90.20.81.00.40.40.30.40.80.70.70.80.80.90.81.01.11.01.51.21.01.41.82.1,2.1,0.9,0.2
26,1.50.50.61.21.00.60.80.60.71.10.90.71.22.21.82.02.62.03.33.02.61.51.00.8,3.3,1.5,0.3
27,0.90.90.30.40.50.40.50.41.82.12.13.12.93.33.63.43.43.43.53.24.05.26.86.1,6.8,2.6,0.3
28,6.78.47.98.37.58.18.98.18.08.28.26.96.76.98.48.78.78.78.07.68.28.17.97.2,8.9,7.9,6.7
29,7.26.75.24.54.42.72.82.71.11.41.92.92.83.13.94.95.44.92.83.44.13.72.12.2,7.2,3.6,1.1
30,2.51.61.22.12.72.63.22.62.42.63.24.85.65.46.15.95.65.95.14.82.92.62.62.6,6.1,3.6,1.2
31,3.53.12.62.43.02.93.12.93.22.63.63.64.24.14.44.64.74.64.64.13.41.21.20.9,5.1,3.3,0.9
TOTAL,1.81.81.81.61.61.71.81.72.02.32.63.03.23.43.53.73.83.73.23.12.52.12.01.8,4.8,2.5,0.8
