어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)백조기,제주도,5미,S/P,1,2.5,"25,000","25,000","25,000"
(선)백조기,제주도,26미,S/P,1,10.0,"17,000","17,000","17,000"
(선)백조기,제주도,17미,S/P,7,6.0,"20,000","20,000","20,000"
(선)백조기,나로도,16미,S/P,2,10.0,"6,000","6,000","6,000"
(선)백조기,제주도,12미,S/P,12,15.0,"25,000","25,000","25,000"
(선)백조기,제주도,12미,S/P,1,8.0,"25,000","25,000","25,000"
(선)백조기,제주도,30미,S/P,12,10.0,"75,000","19,000","57,800"
(선)백조기,제주도,32미,S/P,3,10.0,"70,000","70,000","70,000"
(선)백조기,나로도,14미,S/P,2,15.0,"12,000","12,000","12,000"
(선)백조기,제주도,27미,S/P,1,7.0,"55,000","55,000","55,000"
(선)백조기,제주도,27미,S/P,1,6.0,"35,000","35,000","35,000"
(선)백조기,나로도,10미,S/P,3,15.0,"17,000","17,000","17,000"
(선)백조기,제주도,31미,S/P,7,10.0,"70,000","70,000","70,000"
(선)백조기,제주도,54미,S/P,1,14.0,"80,000","80,000","80,000"
(선)백조기,제주도,55미,CT/(BT),1,10.0,"47,000","47,000","47,000"
(선)백조기,제주도,38미,S/P,3,10.0,"60,000","57,000","58,000"
(선)백조기,나로도,15미,c/s(상자),4,15.0,"15,000","15,000","15,000"
(선)백조기,제주도,중,S/P,33,7.0,"40,000","22,000","23,000"
(선)백조기,나로도,25미,c/s(상자),3,15.0,"15,000","15,000","15,000"
(선)백조기,제주도,17미,S/P,1,7.0,"20,000","20,000","20,000"
(선)백조기,제주도,중,S/P,31,10.0,"22,000","17,000","17,600"
(선)백조기,나로도,3단,S/P,3,10.0,"6,000","6,000","6,000"
(선)백조기,통영,중,S/P,5,10.0,"332,000","150,000","233,800"
(선)백조기,나로도,12미,S/P,1,10.0,"8,000","8,000","8,000"
(선)백조기,통영,대,S/P,16,15.0,"538,000","30,000","160,300"
(선)백조기,통영,대,S/P,5,20.0,"180,000","109,000","158,800"
(선)백조기,나로도,소,S/P,6,20.0,"15,000","15,000","15,000"
(선)백조기,제주도,15미,S/P,23,10.0,"25,000","17,000","19,000"
(선)백조기,통영,중,S/P,11,15.0,"175,000","116,000","149,000"
(선)백조기,제주도,44미,CT/(BT),9,10.0,"53,000","53,000","53,000"
(선)백조기,제주도,16미,S/P,2,6.0,"22,000","22,000","22,000"
(선)백조기,제주도,중,S/P,8,9.0,"17,000","17,000","17,000"
(선)백조기,나로도,대,S/P,2,20.0,"40,000","40,000","40,000"
(선)백조기,나로도,10미,c/s(상자),2,15.0,"15,000","15,000","15,000"
(선)백조기,제주도,중,CT/(BT),5,15.0,"22,000","22,000","22,000"
(선)백조기,제주도,23미,S/P,2,10.0,"85,000","85,000","85,000"
(선)백조기,제주도,39미,S/P,1,10.0,"57,000","57,000","57,000"
(선)백조기,제주도,29미,S/P,4,10.0,"90,000","70,000","85,000"
(선)백조기,나로도,20미,c/s(상자),2,15.0,"15,000","15,000","15,000"
(선)백조기,나로도,8미,S/P,4,15.0,"20,000","20,000","20,000"
(선)백조기,제주도,20미,S/P,1,8.0,"63,000","63,000","63,000"
(선)백조기,제주도,특대,S/P,4,15.0,"23,000","23,000","23,000"
(선)백조기,통영,중,S/P,5,20.0,"193,000","159,000","174,600"
(선)백조기,제주도,43미,CT/(BT),2,10.0,"53,000","53,000","53,000"
(선)백조기,제주도,특대,S/P,16,10.0,"22,000","22,000","22,000"
(선)백조기,나로도,14미,S/P,3,10.0,"6,000","6,000","6,000"
(선)백조기,제주도,18미,S/P,2,6.0,"18,000","18,000","18,000"
(선)백조기,제주도,32미,CT/(BT),1,6.0,"32,000","32,000","32,000"
(선)백조기,제주도,중,S/P,15,15.0,"16,000","16,000","16,000"
(선)수조기,제주도,38미,S/P,1,15.0,"40,000","40,000","40,000"
(선)수조기,제주도,5미,S/P,4,10.0,"135,000","135,000","135,000"
(선)수조기,제주도,대,S/P,1,13.0,"40,000","40,000","40,000"
(선)수조기,제주도,4미,S/P,1,9.0,"121,000","121,000","121,000"
(선)수조기,제주도,중,S/P,2,20.0,"110,000","110,000","110,000"
(선)수조기,제주도,8미,S/P,1,11.0,"88,000","88,000","88,000"
(선)수조기,제주도,15미,S/P,1,8.0,"55,000","55,000","55,000"
(선)수조기,제주도,9미,S/P,1,7.0,"70,000","70,000","70,000"
(선)수조기,제주도,26미,S/P,1,10.0,"45,000","45,000","45,000"
(선)수조기,제주도,5미,S/P,1,7.0,"70,000","70,000","70,000"
(선)수조기,나로도,20미,c/s(상자),1,15.0,"5,000","5,000","5,000"
(선)수조기,나로도,15미,c/s(상자),6,15.0,"5,000","5,000","5,000"
(선)수조기,제주도,8미,S/P,1,11.5,"55,000","55,000","55,000"
(선)수조기,나로도,16미,c/s(상자),3,15.0,"5,000","5,000","5,000"
(선)수조기,제주도,3미,S/P,1,8.0,"20,000","20,000","20,000"
(선)수조기,제주도,12미,S/P,1,13.0,"45,000","45,000","45,000"
(선)수조기,제주도,6미,S/P,1,10.0,"25,000","25,000","25,000"
(선)수조기,제주도,8미,S/P,1,14.5,"130,500","130,500","130,500"
(선)수조기,제주도,35미,S/P,1,10.0,"30,000","30,000","30,000"
(선)수조기,제주도,중,S/P,1,8.0,"25,000","25,000","25,000"
(선)조기,제주도,120미,S/P,3,15.0,"260,000","260,000","260,000"
