어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)백조기,나로도,6미,S/P,32,15.0,"20,000","8,000","12,900"
(선)백조기,나로도,12미,S/P,66,10.0,"27,000","5,000","14,800"
(선)백조기,나로도,중,S/P,17,15.0,"47,000","5,000","33,600"
(선)백조기,나로도,20미,S/P,2,15.0,"10,000","10,000","10,000"
(선)백조기,군산,중,kg,31.5,1.0,"1,000","1,000","1,000"
(선)백조기,나로도,8미,S/P,125,10.0,"31,000","8,000","14,700"
(선)백조기,나로도,3단,S/P,2,15.0,"8,000","8,000","8,000"
(선)백조기,통영,대,S/P,7,20.0,"217,000","20,000","48,100"
(선)백조기,나로도,14미,S/P,36,10.0,"22,000","5,000","12,000"
(선)백조기,나로도,22미,S/P,2,15.0,"6,000","5,000","5,500"
(선)백조기,남해,15미,S/P,42,10.0,"12,000","5,000","8,100"
(선)백조기,나로도,3단,S/P,5,10.0,"8,000","8,000","8,000"
(선)백조기,제주도,대,S/P,1,15.0,"10,000","10,000","10,000"
(선)백조기,나로도,소,S/P,6,15.0,"40,000","31,000","34,000"
(선)백조기,나로도,5미,S/P,43,10.0,"31,000","10,000","16,100"
(선)백조기,제주도,33미,S/P,3,10.0,"50,000","50,000","50,000"
(선)백조기,나로도,24미,S/P,14,15.0,"21,000","6,000","13,600"
(선)백조기,인천,중,S/P,4,10.0,"180,000","28,000","110,800"
(선)백조기,나로도,15미,S/P,21,10.0,"20,000","8,000","15,300"
(선)백조기,나로도,36미,S/P,3,15.0,"13,000","10,000","11,300"
(선)백조기,나로도,대,S/P,21,10.0,"28,000","6,000","9,600"
(선)백조기,나로도,7미,S/P,19,15.0,"16,000","6,000","11,700"
(선)백조기,나로도,10미,S/P,9,15.0,"13,000","8,000","12,100"
(선)백조기,나로도,중,S/P,3,20.0,"40,000","40,000","40,000"
(선)백조기,나로도,16미,S/P,42,10.0,"17,000","10,000","14,400"
(선)백조기,남해,대,S/P,21,10.0,"18,000","5,000","13,300"
(선)백조기,남해,소,S/P,2,10.0,"5,000","3,000","4,000"
(선)백조기,나로도,대,S/P,13,15.0,"47,000","8,000","29,500"
(선)백조기,나로도,4미,S/P,2,10.0,"20,000","15,000","17,500"
(선)백조기,나로도,소,S/P,7,10.0,"13,000","5,000","6,100"
(선)백조기,제주도,특대,S/P,3,10.0,"13,000","13,000","13,000"
(선)백조기,나로도,30미,S/P,6,15.0,"15,000","10,000","13,300"
(선)백조기,나로도,19미,S/P,1,15.0,"5,000","5,000","5,000"
(선)백조기,나로도,18미,S/P,6,15.0,"21,000","5,000","12,000"
(선)백조기,제주도,8미,S/P,16,10.0,"16,000","13,000","13,200"
(선)백조기,나로도,특대,S/P,1,20.0,"60,000","60,000","60,000"
(선)백조기,남해,10미,S/P,15,10.0,"15,000","5,000","8,100"
(선)백조기,나로도,20미,S/P,5,10.0,"15,000","10,000","12,600"
(선)백조기,남해,12미,S/P,64,10.0,"12,000","5,000","9,800"
(선)백조기,통영,대,S/P,5,10.0,"7,000","7,000","7,000"
(선)백조기,나로도,7미,S/P,27,12.0,"10,000","10,000","10,000"
(선)백조기,나로도,중,S/P,1,10.0,"6,000","6,000","6,000"
(선)백조기,나로도,9미,S/P,6,10.0,"30,000","15,000","19,300"
(선)백조기,나로도,4미,S/P,3,15.0,"25,000","22,000","23,000"
(선)백조기,나로도,7미,S/P,61,10.0,"30,000","7,000","12,500"
(선)백조기,나로도,5미,S/P,16,15.0,"23,000","13,000","17,100"
(선)백조기,남해,5미,S/P,1,10.0,"18,000","18,000","18,000"
(선)백조기,목포,대,S/P,297.2,1.0,"3,300",500,"1,300"
(선)백조기,나로도,대,S/P,5,20.0,"58,000","48,000","54,000"
(선)백조기,보령,중,kg,21,1.0,"1,000",300,600
(선)백조기,나로도,16미,S/P,2,15.0,"10,000","5,000","7,500"
(선)백조기,나로도,소,S/P,1,20.0,"40,000","40,000","40,000"
(선)백조기,제주도,27미,S/P,1,9.0,"50,000","50,000","50,000"
(선)백조기,군산,중,kg,4,3.0,"15,000","8,000","11,500"
(선)백조기,나로도,8미,S/P,15,15.0,"16,000","6,000","10,800"
(선)백조기,남해,18미,S/P,21,10.0,"10,000","5,000","6,200"
(선)백조기,나로도,특대,S/P,1,15.0,"40,000","40,000","40,000"
(선)백조기,제주도,대,S/P,3,8.0,"12,000","12,000","12,000"
(선)백조기,나로도,13미,S/P,3,10.0,"15,000","5,000","9,300"
