일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,7.47.57.57.57.57.57.57.57.57.57.57.57.67.67.67.67.67.67.57.67.67.67.67.6,7.6,7.5,7.4
02,7.77.77.77.77.77.67.77.67.77.77.77.77.77.77.77.77.77.77.77.77.77.77.77.7,7.7,7.7,7.6
03,7.77.77.77.87.87.87.77.87.77.67.67.67.67.67.67.57.67.57.77.67.67.67.67.6,7.8,7.7,7.5
04,7.67.67.67.77.77.77.67.77.67.67.67.67.67.67.67.57.57.57.77.67.67.67.67.6,7.7,7.6,7.5
05,7.67.67.67.67.67.77.87.77.67.67.67.67.57.57.67.57.67.57.77.77.77.77.77.7,7.8,7.6,7.5
06,7.77.67.77.77.67.67.87.67.77.77.77.77.77.77.77.77.67.77.87.97.87.87.87.7,7.9,7.7,7.6
07,7.87.87.87.77.77.87.77.87.87.87.87.87.77.87.87.87.87.87.98.07.98.07.97.8,8.0,7.8,7.7
08,7.87.87.87.97.87.97.87.97.97.97.97.97.87.97.97.97.87.97.98.08.08.08.07.9,8.0,7.9,7.8
09,7.87.97.97.97.87.87.97.87.97.97.97.97.87.87.97.87.87.87.87.97.97.97.97.9,7.9,7.9,7.8
10,7.97.97.97.97.97.87.97.87.98.07.98.08.08.07.97.98.07.97.98.08.18.08.08.1,8.1,8.0,7.8
11,8.08.08.08.08.18.18.08.18.18.38.48.28.28.28.28.28.18.28.28.28.28.28.18.2,8.4,8.1,8.0
12,8.28.28.28.28.28.28.28.28.28.38.38.38.38.38.38.38.38.38.48.48.48.48.48.4,8.4,8.3,8.2
13,8.48.48.48.48.48.48.48.48.48.48.48.58.48.38.48.38.38.38.48.58.58.58.58.5,8.5,8.4,8.3
14,8.58.58.58.58.58.58.58.58.48.58.68.68.68.68.68.58.58.58.58.58.58.68.68.6,8.6,8.5,8.4
15,8.78.78.78.88.78.78.78.78.78.78.78.78.78.78.78.78.78.78.88.88.88.88.88.8,8.8,8.7,8.7
16,8.88.88.88.88.78.88.78.88.78.68.68.78.78.78.78.78.78.78.78.78.78.78.78.7,8.8,8.7,8.6
17,8.78.78.78.78.78.68.78.68.68.68.68.58.58.58.68.68.78.68.68.68.68.78.78.7,8.7,8.6,8.5
18,8.78.78.68.68.88.88.78.88.78.78.78.78.68.68.68.78.68.78.88.78.78.78.78.7,8.8,8.7,8.6
19,8.68.78.68.68.68.78.78.78.78.68.68.68.68.78.78.78.78.78.98.98.98.98.98.9,8.9,8.7,8.6
20,8.88.98.98.98.98.99.08.99.09.08.98.98.88.88.98.99.08.99.19.19.19.19.18.9,9.1,9.0,8.8
21,9.09.09.09.09.19.29.19.29.29.29.29.19.09.19.19.29.29.29.49.49.49.49.49.3,9.4,9.2,9.0
22,9.39.39.39.39.39.49.49.49.49.39.39.39.39.49.39.49.39.49.49.59.49.49.49.4,9.5,9.4,9.3
23,9.49.49.39.39.39.49.49.49.49.49.49.49.49.49.49.49.49.49.49.59.59.49.49.4,9.5,9.4,9.3
24,9.49.49.49.39.39.29.39.29.39.49.39.49.49.39.39.39.39.39.49.49.49.49.49.3,9.4,9.3,9.2
25,9.49.39.39.39.39.39.29.39.39.49.49.49.49.49.49.49.39.49.49.49.49.49.49.4,9.4,9.4,9.2
26,9.49.49.49.49.39.49.49.49.39.49.49.49.49.49.39.39.39.39.39.39.39.49.39.4,9.4,9.4,9.2
27,9.49.39.39.39.39.39.39.39.49.39.49.49.39.39.39.39.39.39.49.49.49.49.49.4,9.4,9.3,9.3
28,9.59.59.59.49.59.59.59.59.59.59.59.59.59.59.49.49.59.49.49.49.59.59.59.5,9.5,9.5,9.4
29,9.49.49.59.59.59.59.59.59.69.69.69.69.69.69.69.59.59.59.69.69.59.59.69.6,9.6,9.5,9.4
30,9.69.69.59.59.69.69.69.69.59.59.59.59.59.59.59.69.59.69.69.59.59.59.59.6,9.6,9.5,9.5
TOTAL,8.58.58.58.58.58.68.68.68.58.68.68.68.58.58.58.58.58.58.68.68.68.68.68.6,8.7,8.6,8.5
