일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,3.33.01.31.31.31.41.41.42.43.54.14.54.44.75.26.04.46.04.33.44.27.57.67.3,7.6,3.9,1.3
02,7.27.37.37.88.18.78.38.75.56.55.34.74.95.14.94.94.84.95.24.86.37.47.27.7,8.7,6.2,4.2
03,6.48.17.68.26.87.37.37.39.19.07.58.88.28.26.66.47.46.45.45.44.03.14.84.7,9.1,6.8,3.1
04,4.84.74.03.53.62.83.52.85.34.95.24.84.24.63.44.14.14.15.04.54.04.64.25.7,5.7,4.3,2.8
05,5.77.16.54.37.06.36.16.38.57.47.48.07.66.89.910.98.510.910.911.712.315.416.39.4,16.3,8.8,4.3
06,10.319.620.019.018.215.915.515.914.013.212.010.710.210.19.67.86.77.86.46.95.03.83.32.5,20.0,11.0,2.5
07,2.32.42.02.21.20.50.60.51.71.20.81.11.92.62.52.63.12.62.82.20.70.20.41.1,3.1,1.7,0.2
08,1.00.71.20.80.70.50.80.51.12.22.71.71.41.62.02.73.42.73.42.51.11.10.90.6,3.5,1.6,0.5
09,1.10.30.70.91.21.61.61.62.23.74.94.94.85.05.35.25.35.25.53.92.72.42.22.0,5.6,3.1,0.3
10,2.52.52.56.58.28.17.38.16.86.36.66.76.76.46.87.17.27.17.28.07.87.97.36.4,8.2,6.5,2.5
11,5.44.95.55.25.24.65.24.65.04.65.65.45.96.57.37.36.57.36.45.44.54.33.73.6,7.3,5.4,3.6
12,4.04.84.53.85.65.25.35.25.54.94.64.54.34.14.45.75.25.73.32.52.52.42.32.3,5.7,4.2,2.3
13,3.46.45.76.86.36.76.36.75.45.86.85.85.56.07.07.07.57.08.18.48.18.810.29.4,10.2,6.9,3.4
14,9.09.29.19.39.58.98.78.97.97.98.18.28.58.27.88.28.88.27.37.67.98.69.38.3,9.5,8.4,7.3
15,8.69.08.78.59.29.210.19.28.27.46.86.56.46.76.95.45.45.45.25.14.74.96.07.0,10.1,7.1,4.6
16,6.25.85.75.25.64.53.44.52.32.53.73.73.74.13.74.44.54.43.43.42.22.92.02.4,6.2,3.8,2.0
17,3.72.93.41.43.14.24.14.23.03.84.04.33.83.53.83.94.03.93.52.91.82.01.5,4.3,3.3,1.4
18,0.80.40.40.10.40.90.50.91.22.32.41.42.93.12.93.32.63.95.76.96.7,6.9,2.4,0.1
19,6.77.48.79.69.39.38.79.37.68.49.38.07.97.97.68.47.78.48.56.75.65.85.65.1,9.6,7.8,5.1
20,4.23.73.82.62.01.10.91.15.87.78.47.87.77.37.27.06.47.04.13.71.61.31.11.2,8.4,4.4,0.9
21,1.21.10.90.90.91.61.91.63.95.96.06.06.15.85.95.96.55.97.06.03.33.73.14.2,7.0,4.0,0.9
22,2.74.27.37.16.16.04.16.02.33.75.15.85.76.06.46.35.96.35.13.92.11.51.21.3,7.3,4.5,1.2
23,0.80.80.30.10.20.20.50.20.51.33.03.94.35.04.65.24.55.24.54.95.54.74.13.4,6.2,2.9,0.1
24,3.42.82.93.32.82.21.72.22.11.41.31.41.41.61.31.00.81.01.01.71.62.41.31.4,3.4,1.8,0.8
25,1.91.00.60.90.81.30.91.31.12.24.55.25.75.56.05.75.15.73.93.42.81.21.11.0,6.0,2.8,0.5
26,0.70.70.80.70.70.60.40.60.60.51.11.51.51.81.92.71.72.71.00.61.30.90.90.5,2.7,1.1,0.4
27,1.41.01.10.91.00.80.50.80.80.71.21.81.01.41.72.22.62.24.01.91.01.31.21.0,4.0,1.4,0.5
28,0.70.80.32.43.44.44.74.64.13.93.93.93.92.41.51.61.20.50.9,4.7,2.5,0.3
29,0.41.20.71.10.51.30.71.30.61.41.82.22.22.63.23.84.13.84.03.12.52.62.32.7,4.1,2.1,0.3
30,3.21.50.91.00.90.90.50.90.70.80.81.41.51.42.02.32.12.31.40.81.42.72.31.1,3.2,1.4,0.5
TOTAL,3.94.34.34.34.44.24.04.24.14.44.84.84.84.95.05.25.05.24.84.33.84.14.03.8,7.2,4.4,1.9
