일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.91.51.31.32.02.72.62.71.01.21.00.90.71.42.02.93.42.92.92.93.02.92.32.5,3.9,2.1,0.7
02,2.52.92.82.71.92.01.52.00.30.71.72.11.61.71.51.71.21.71.61.41.72.52.42.4,2.9,1.8,0.3
03,0.90.72.03.12.52.51.52.50.71.11.42.33.03.33.73.34.33.33.74.86.75.45.15.0,6.7,3.0,0.7
04,4.95.05.34.54.24.44.54.44.24.04.14.14.85.45.04.53.94.54.64.64.44.32.83.5,5.4,4.4,2.8
05,4.03.53.73.43.33.93.53.95.03.93.23.33.42.92.82.93.52.93.53.23.53.32.52.5,5.0,3.4,2.5
06,2.93.13.23.02.41.41.01.41.01.01.91.72.01.91.81.21.31.20.50.81.62.10.80.9,3.2,1.7,0.5
07,1.53.02.81.41.01.30.91.31.21.70.60.91.61.71.71.20.81.20.60.80.50.81.00.6,3.0,1.2,0.5
08,1.41.30.71.00.90.80.10.80.50.81.01.21.11.21.31.31.21.30.50.70.20.60.70.2,1.4,0.8,0.1
09,0.30.20.40.40.80.81.00.81.62.23.13.93.73.83.64.12.64.11.51.30.90.70.81.0,4.1,1.8,0.2
10,1.81.31.03.32.11.23.21.23.43.75.65.95.45.45.65.25.75.23.33.03.02.32.73.3,5.9,3.6,1.0
11,2.42.92.62.93.53.63.13.62.73.74.15.55.55.65.55.45.95.44.63.83.94.34.84.4,5.9,4.1,2.1
12,5.44.75.03.42.31.70.71.71.01.30.70.80.80.90.70.90.71.22.43.91.71.41.6,5.4,1.9,0.6
13,1.11.26.59.09.15.85.35.86.57.27.77.47.26.76.55.15.65.14.74.74.44.44.33.7,9.1,5.7,1.1
14,2.63.52.72.22.73.33.43.33.03.34.03.93.44.24.43.74.13.74.23.63.83.53.93.6,4.4,3.5,2.2
15,3.54.03.83.52.92.83.02.82.82.41.72.12.63.84.24.14.04.14.43.73.12.83.02.9,4.4,3.2,1.7
16,3.13.13.13.03.03.02.33.02.41.52.44.04.43.23.02.92.92.92.42.01.91.71.32.2,4.4,2.7,1.3
17,1.51.51.81.80.80.60.70.60.61.31.31.21.72.32.94.93.94.92.52.62.12.32.32.0,4.9,1.9,0.6
18,2.42.92.22.22.32.32.42.32.42.95.96.46.87.06.97.06.47.04.42.62.52.72.72.7,7.0,3.9,2.2
19,2.82.92.82.75.37.17.37.15.06.06.86.76.97.67.16.96.26.92.62.52.42.02.32.7,7.6,4.8,2.0
20,2.72.63.84.83.86.76.46.73.65.62.73.52.73.32.86.16.86.13.84.03.83.12.82.3,6.8,4.0,2.3
21,2.01.21.51.61.81.00.71.01.11.42.13.02.62.42.22.32.42.30.90.80.90.90.60.3,3.0,1.5,0.3
22,0.80.80.80.80.71.31.31.31.92.72.71.91.62.21.74.26.84.27.69.07.56.66.03.8,9.0,3.4,0.7
23,7.46.14.93.31.92.13.92.15.45.25.05.15.14.45.13.42.62.82.71.22.6,7.4,4.0,1.2
24,2.94.02.92.42.02.21.22.20.61.31.21.52.02.12.42.92.32.91.51.80.81.01.41.5,4.0,1.8,0.6
25,1.00.20.60.81.01.11.21.11.10.51.21.42.01.52.32.60.92.61.11.01.11.00.61.0,2.6,1.2,0.2
26,1.51.10.81.11.71.51.41.50.71.83.13.14.54.04.44.82.14.83.84.02.01.30.80.9,4.8,2.3,0.7
27,0.80.50.51.20.60.70.80.71.30.81.73.53.84.65.34.94.84.91.91.11.91.73.73.3,5.3,2.2,0.5
28,1.31.42.74.96.36.74.26.72.81.70.80.71.02.52.21.83.41.82.51.91.10.71.01.3,6.7,2.4,0.7
29,1.98.59.710.38.78.66.98.63.93.74.95.07.25.86.06.16.66.15.76.35.85.55.75.8,10.3,6.2,1.9
30,6.26.76.96.98.08.38.38.37.26.96.65.56.36.36.16.25.46.23.84.03.64.55.06.2,8.3,6.1,3.6
TOTAL,2.52.73.03.13.03.02.83.02.52.73.13.33.53.63.73.83.83.83.02.92.82.62.52.5,5.4,3.0,1.2
