일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,13.3,13.2,13.1,13.2,13.3,13.3,13.4,13.3,13.4,13.5,13.5,13.5,13.4,13.3,13.3,13.3,13.3,13.3,13.4,13.4,13.5,13.5,13.5,13.5,13.5,13.4,13.1
02,13.5,13.4,13.4,13.3,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.5,13.5,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.4,13.4,13.4,13.4,13.5,13.4,13.3
03,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.3,13.3,13.3,13.3,13.3,13.4,13.5,13.5,13.5,13.5,13.6,13.6,13.4,13.3
04,13.6,13.5,13.4,13.4,13.4,13.4,13.5,13.4,13.5,13.5,13.5,13.6,13.6,13.6,13.5,13.4,13.4,13.4,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.5,13.4
05,13.6,13.6,13.5,13.5,13.5,13.5,13.6,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.6,13.7,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.6,13.5
06,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.5,13.6,13.6,13.5
07,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.5
08,13.6,13.6,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.5,13.5,13.5,13.6,13.6,13.6,13.7,13.7,13.7,13.7,13.6,13.5
09,13.7,13.7,13.6,13.6,13.7,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,13.7,13.8,13.8,13.9,13.9,13.9,13.9,13.9,13.7,13.6
10,13.9,13.9,13.9,13.9,13.9,13.9,13.8,13.9,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.9,13.8,13.9,13.9,14.0,14.0,14.0,14.0,14.0,13.9,13.8
11,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.9,14.0,13.9,14.0,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,13.9
12,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.1,14.1
13,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3
14,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3
15,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.3,14.4,14.3,14.3
16,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3
17,14.4,14.4,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.4,14.3,14.2
18,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1
19,14.1,14.1,14.0,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.2,14.2,14.1,14.2,14.1,14.0,13.9,13.9,13.9,13.9,14.2,14.1,13.9
20,13.8,13.8,13.8,13.8,13.8,13.8,13.9,13.8,13.9,13.9,13.9,13.9,13.9,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.9,14.0,13.9,13.8
21,13.9,13.9,13.9,14.0,14.0,14.0,14.0,14.0,14.0,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,14.0,13.9,13.9
