일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.91.82.51.91.51.11.41.13.94.04.45.25.35.25.15.73.45.73.53.53.22.52.53.1,5.7,3.3,1.1
02,2.83.93.54.13.33.12.33.12.62.93.43.83.53.54.04.14.24.12.92.93.71.61.61.4,4.2,3.1,1.4
03,2.53.53.11.91.91.30.71.30.80.71.01.53.12.63.92.93.72.93.13.22.51.91.31.1,3.9,2.2,0.7
04,0.80.40.70.60.40.30.30.31.11.21.71.61.72.92.43.02.83.01.91.01.11.51.01.0,3.2,1.4,0.3
05,0.50.40.30.70.40.50.40.51.02.01.11.63.22.92.52.82.72.84.62.42.30.91.12.4,4.6,1.7,0.3
06,1.41.00.60.60.40.50.80.51.01.81.82.32.52.23.13.72.23.71.51.51.22.01.81.8,3.7,1.6,0.2
07,2.20.80.60.60.30.61.20.61.93.03.52.62.72.53.33.83.13.84.23.63.73.23.42.8,4.2,2.5,0.3
08,3.11.32.61.91.71.92.51.93.33.02.62.12.52.43.32.63.12.62.73.63.92.52.41.8,3.9,2.6,1.3
09,1.91.21.82.62.62.53.52.52.21.92.12.73.13.22.43.93.33.92.83.91.52.13.22.8,3.9,2.7,1.2
10,3.13.62.51.82.52.22.32.22.93.03.74.22.83.02.34.64.24.63.53.23.22.41.62.7,4.6,3.0,1.6
11,1.81.71.22.61.71.61.71.62.13.43.62.73.44.43.94.13.24.13.41.91.52.12.21.4,4.4,2.5,1.2
12,2.01.52.02.32.52.71.22.71.21.41.42.31.42.91.71.82.61.81.21.21.10.90.50.3,2.9,1.6,0.3
13,0.40.30.40.10.20.10.40.11.71.71.81.82.12.33.33.03.63.02.71.71.72.63.13.2,4.5,1.8,0.1
14,1.51.10.60.50.82.83.62.82.83.83.53.73.54.63.54.55.54.54.84.23.53.12.01.9,5.5,3.1,0.5
15,3.03.12.11.51.21.61.91.62.43.02.32.33.84.43.32.12.42.11.94.44.72.73.03.2,4.7,2.7,1.2
16,2.62.93.32.02.52.02.82.03.84.75.12.31.10.81.42.81.42.80.40.30.70.70.81.7,5.1,2.1,0.3
17,1.21.10.70.20.90.50.40.50.30.11.20.60.90.50.40.70.30.71.01.91.40.70.30.3,1.9,0.7,0.1
18,0.30.30.40.30.30.50.30.50.71.31.62.42.12.12.93.12.63.12.01.10.80.70.80.7,3.1,1.2,0.3
19,0.60.70.60.30.50.20.40.20.40.81.51.63.53.93.03.63.03.63.83.03.33.73.92.9,3.9,2.1,0.1
20,3.63.42.94.84.24.84.44.83.41.72.81.81.80.91.31.61.01.61.71.60.50.30.30.7,4.8,2.3,0.3
21,0.70.40.50.60.50.80.50.80.81.52.62.82.62.82.22.21.72.21.51.21.21.21.00.9,2.8,1.4,0.4
22,0.90.80.90.90.80.80.60.80.91.11.41.62.63.22.22.31.92.31.31.10.90.50.50.5,3.2,1.2,0.3
23,0.60.70.50.60.80.50.50.50.70.81.21.20.81.91.91.60.81.60.50.80.90.60.80.4,1.9,0.9,0.3
24,1.51.21.41.11.41.21.51.23.71.52.91.43.74.14.12.92.72.92.01.70.80.20.70.5,4.1,2.0,0.2
25,0.70.60.50.81.11.00.81.00.80.81.61.81.31.31.22.02.82.01.30.90.50.80.70.6,2.8,1.1,0.2
26,0.60.40.50.30.40.60.60.61.50.91.92.31.61.11.51.11.71.10.81.50.91.00.80.6,2.3,1.0,0.3
27,1.00.60.70.60.60.60.50.60.80.80.61.51.21.41.92.22.22.21.20.90.91.10.70.4,2.2,1.0,0.4
28,0.70.91.21.61.61.41.61.41.32.22.92.93.13.22.92.82.62.82.82.32.63.73.52.7,3.7,2.3,0.7
29,3.43.73.51.61.41.61.81.61.91.01.72.62.51.62.42.52.72.52.11.50.90.81.01.3,3.7,2.0,0.8
30,1.41.21.01.20.50.70.50.71.51.60.90.72.01.71.50.70.70.70.30.20.40.30.20.3,2.0,0.9,0.2
31,0.30.20.30.21.10.30.40.30.20.30.30.71.31.53.22.72.12.71.41.50.51.61.81.5,3.2,1.1,0.2
TOTAL,1.61.41.41.31.31.31.31.31.71.92.22.22.52.62.62.82.62.82.22.01.81.61.61.5,3.7,1.9,0.5
