일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
22,5.9,5.4,3.4,3.0,2.2,1.9,2.3,1.9,0.7,0.8,1.9,2.9,1.6,3.6,2.8,3.7,4.6,3.7,3.8,3.4,4.0,2.3,1.2,1.5,5.9,2.9,0.7
23,0.4,0.2,0.3,0.5,0.4,0.4,0.6,0.4,2.0,1.9,0.7,0.0,2.3,3.5,3.1,2.6,1.2,2.6,1.9,1.3,1.5,2.2,2.5,1.7,3.5,1.5,0.0
24,1.5,2.1,1.8,1.8,1.5,1.2,0.8,1.2,0.4,0.7,2.0,2.8,2.3,2.2,4.0,5.7,4.6,5.7,3.6,3.6,3.1,3.7,3.7,4.0,5.7,2.6,0.4
25,3.3,2.8,2.3,3.7,1.7,0.6,0.4,0.6,2.6,4.6,4.6,4.1,8.1,9.5,8.5,7.6,6.5,7.6,6.1,4.8,3.3,3.8,2.2,2.6,9.5,4.3,0.4
26,2.9,4.1,3.8,3.6,2.7,1.6,0.9,1.6,0.8,1.5,1.2,2.0,2.7,2.5,2.1,2.3,3.4,2.3,2.2,1.2,2.1,1.2,1.0,1.0,4.1,2.1,0.8
27,2.4,2.6,1.9,2.2,2.2,2.1,1.9,2.1,0.5,2.0,3.0,4.0,4.7,5.5,6.0,4.6,3.9,4.6,6.1,5.0,3.7,3.7,3.3,2.1,6.1,3.3,0.5
28,3.6,3.4,1.5,0.7,0.2,0.3,0.4,0.3,0.7,1.6,2.2,2.3,4.9,5.6,4.2,5.0,5.0,5.0,5.6,6.2,7.2,7.3,6.1,3.5,7.3,3.5,0.2
29,4.0,5.2,4.5,3.9,2.8,4.7,4.7,4.7,5.0,3.2,4.1,3.6,4.8,4.7,5.6,4.8,4.0,4.8,4.6,4.3,4.2,3.9,1.2,2.1,5.7,4.2,1.2
30,2.6,0.4,1.1,1.0,1.1,0.2,0.4,0.2,2.4,0.9,1.5,2.8,3.2,3.4,4.7,4.5,4.7,4.5,2.5,1.4,1.5,1.2,0.7,0.5,4.7,2.0,0.2
31,0.5,0.4,0.9,0.6,0.3,1.0,2.6,1.0,0.8,0.8,1.3,1.9,1.7,2.4,3.8,4.0,3.7,4.0,2.1,1.5,1.3,0.3,0.2,0.3,4.0,1.6,0.2
TOTAL,2.7,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.4,2.4,2.8,3.4,3.6,4.0,4.1,4.2,4.1,4.2,3.8,3.5,3.1,2.8,2.5,2.4,5.7,2.9,0.8
