일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,20.220.120.120.019.919.919.919.919.920.020.020.020.120.320.420.620.620.620.520.420.420.320.220.2,20.6,20.2,19.9
02,20.120.120.120.020.020.019.920.019.919.920.020.020.120.420.420.520.620.520.420.420.320.220.120.1,20.6,20.2,19.9
03,20.120.020.020.019.919.919.919.919.919.920.020.020.020.020.120.320.420.320.420.320.220.220.220.2,20.5,20.1,19.9
04,20.120.120.120.120.020.020.020.020.020.020.020.020.120.120.120.120.020.120.020.020.120.120.120.1,20.1,20.1,20.0
05,20.120.120.120.120.120.120.120.120.120.120.220.220.320.320.220.220.220.220.120.120.120.220.220.2,20.3,20.2,20.1
06,20.220.220.220.220.220.220.220.220.220.220.220.220.120.120.120.120.020.119.919.819.719.619.519.5,20.2,20.0,19.5
07,19.419.419.419.319.319.419.419.419.319.319.319.319.419.419.419.519.419.519.319.319.319.319.319.2,19.5,19.3,19.2
08,19.119.119.019.119.119.119.119.119.019.018.918.918.919.019.119.219.219.219.119.119.019.018.918.9,19.2,19.0,18.9
09,18.818.818.718.718.718.618.518.618.618.618.618.718.918.919.018.819.018.819.018.918.918.918.918.9,19.0,18.8,18.5
10,18.918.818.818.818.818.718.718.718.718.618.518.618.718.718.818.718.718.718.618.818.718.718.618.5,18.9,18.7,18.5
11,18.418.218.118.218.118.118.018.118.018.018.018.118.118.218.218.218.218.218.118.118.017.917.817.7,18.4,18.1,17.7
12,17.617.517.317.317.317.317.417.317.217.317.517.517.517.517.417.417.417.417.317.217.117.117.016.9,17.6,17.3,16.9
13,16.816.716.516.516.516.616.716.616.516.716.916.917.017.017.117.017.017.016.916.816.816.816.716.7,17.1,16.8,16.5
14,16.516.316.316.216.216.316.416.316.416.416.516.616.716.816.916.916.816.916.716.616.616.616.516.5,16.9,16.5,16.2
15,16.416.316.316.216.216.216.216.216.216.216.316.316.516.616.616.616.616.616.516.416.416.416.416.4,16.6,16.4,16.2
16,16.316.216.216.116.116.116.116.116.116.216.216.216.316.216.216.116.116.115.915.915.715.816.016.0,16.3,16.1,15.7
17,15.916.015.915.615.615.615.715.615.715.715.815.815.915.915.915.915.815.915.615.615.615.615.615.6,16.0,15.7,15.6
18,15.615.515.415.315.215.014.915.014.814.814.915.015.015.215.215.215.215.215.115.115.015.014.914.9,15.6,15.1,14.8
19,14.914.814.814.714.714.614.614.614.514.614.714.814.914.915.015.115.115.115.015.015.014.914.914.9,15.1,14.8,14.5
20,14.814.814.714.714.714.614.614.614.614.614.714.714.714.714.714.814.814.814.814.714.714.614.714.7,14.8,14.7,14.6
21,14.714.714.614.614.614.714.714.714.514.514.514.614.714.814.814.915.014.914.914.914.814.814.714.5,15.0,14.7,14.5
22,14.414.414.414.414.514.614.414.614.314.214.314.514.514.714.714.714.814.714.714.714.714.614.614.6,14.8,14.5,14.2
23,14.614.614.614.614.614.614.614.614.614.614.614.814.915.115.115.115.015.115.014.914.914.814.814.7,15.1,14.8,14.6
24,14.614.514.414.414.414.414.314.414.214.114.114.114.114.114.214.214.214.214.214.013.913.913.713.5,14.6,14.2,13.5
25,13.413.413.413.413.513.413.513.413.713.713.813.813.813.913.914.014.014.014.014.013.913.813.813.7,14.0,13.7,13.4
26,13.613.413.313.413.513.513.413.513.613.613.613.713.713.713.713.713.713.713.713.713.713.713.513.5,13.7,13.6,13.3
27,13.413.413.313.213.313.413.413.413.513.513.513.513.513.613.613.813.713.813.613.613.613.513.513.4,13.8,13.5,13.2
28,13.413.313.213.213.313.313.213.313.213.213.213.313.413.413.413.413.413.413.313.213.213.213.213.1,13.4,13.3,13.1
29,13.113.113.113.013.013.013.013.013.013.013.013.113.113.113.113.113.113.113.013.013.013.012.912.9,13.1,13.0,12.9
30,12.912.812.812.712.612.612.612.612.512.512.512.612.712.712.712.712.612.712.512.412.312.312.312.3,12.9,12.6,12.3
TOTAL,16.616.616.516.516.516.416.416.416.416.416.516.516.616.616.716.716.716.716.616.616.516.516.416.4,16.8,16.5,16.3
