일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,1.11.92.83.32.63.23.23.24.33.01.70.82.61.92.52.11.92.12.12.22.10.41.52.6,4.3,2.3,0.4
02,0.90.72.02.43.84.74.94.71.21.02.62.02.52.82.82.41.72.43.82.22.13.45.45.8,5.8,2.8,0.7
03,6.03.83.82.83.03.33.83.33.84.04.74.64.05.63.63.34.33.36.35.75.54.63.42.5,6.3,4.2,2.5
04,1.71.02.12.22.92.42.42.42.92.92.51.21.21.40.92.32.92.34.35.24.63.42.73.6,5.2,2.6,0.9
05,2.12.03.13.02.93.43.73.45.22.64.24.33.52.85.15.64.95.64.62.94.46.46.57.3,7.3,4.2,2.0
06,5.75.75.46.46.86.65.76.63.43.93.83.74.63.84.73.85.03.84.44.33.32.55.33.6,6.8,4.7,2.5
07,3.24.84.95.03.76.65.86.63.73.93.43.14.54.55.46.05.16.05.85.15.35.56.16.4,6.6,5.0,3.1
08,6.47.95.73.64.55.75.65.75.05.24.43.65.04.24.95.35.25.35.05.44.03.53.63.6,7.9,4.9,3.5
09,6.67.66.54.91.33.02.43.01.11.01.10.91.92.83.04.45.94.45.94.84.02.01.81.4,7.6,3.4,0.9
10,1.40.51.62.01.10.30.10.30.51.72.64.14.94.43.94.05.74.03.41.91.50.90.80.3,5.7,2.2,0.1
11,0.30.50.30.10.10.30.30.31.02.43.43.94.24.54.85.95.25.93.43.23.63.22.53.1,5.9,2.5,0.1
12,3.44.34.72.93.84.12.34.11.52.81.32.23.84.05.24.74.04.73.85.05.73.62.53.9,5.7,3.5,1.3
13,2.71.11.61.83.13.03.83.03.13.00.71.22.12.73.53.22.73.21.91.41.32.11.60.6,3.8,2.2,0.6
14,0.60.60.10.20.50.40.60.42.31.10.71.51.30.70.62.03.32.02.01.64.13.12.42.7,4.1,1.5,0.1
15,3.64.24.33.93.62.52.92.51.91.81.51.31.00.83.63.74.13.73.13.44.83.42.61.5,4.8,2.9,0.8
16,1.82.33.12.72.72.32.02.32.21.51.81.11.53.75.85.85.05.83.63.93.32.61.82.3,5.8,2.9,1.1
17,2.92.20.80.81.01.60.71.61.00.90.61.32.64.14.03.85.53.81.81.41.70.30.30.6,5.5,1.8,0.3
18,0.80.80.50.71.20.71.70.70.82.63.43.75.35.36.46.54.66.52.52.62.01.50.80.7,6.5,2.6,0.5
19,1.90.60.30.10.00.10.80.10.31.40.40.60.50.80.91.31.51.30.60.70.30.50.81.5,1.9,0.8,0.0
20,0.90.90.80.80.40.20.40.20.60.60.50.51.61.62.33.31.23.31.82.42.32.21.81.7,3.3,1.3,0.2
21,0.40.30.40.70.90.71.70.72.62.61.81.11.62.13.02.62.02.61.72.53.72.82.33.3,3.7,1.9,0.3
22,3.73.33.13.33.73.23.43.23.74.04.04.03.72.94.97.06.47.02.61.72.43.92.63.8,7.0,3.7,1.7
23,4.04.24.24.33.73.43.23.43.34.03.52.42.72.62.22.12.62.12.41.41.32.31.83.3,4.3,3.0,1.3
24,3.23.42.72.62.72.92.22.92.93.63.12.62.73.74.53.23.93.23.42.74.43.43.13.1,4.5,3.3,2.2
25,3.23.83.54.74.64.24.74.23.63.63.93.63.92.93.63.63.43.62.92.11.60.91.13.2,4.7,3.3,0.9
26,4.53.62.73.56.55.84.75.85.03.64.66.56.56.36.16.55.96.54.75.36.15.03.13.1,6.5,5.0,2.7
27,3.22.21.94.44.33.73.73.73.83.52.30.90.82.15.04.24.04.22.61.11.71.30.90.9,5.0,2.7,0.8
28,0.61.50.60.30.30.51.20.51.71.91.02.93.34.22.72.42.72.41.41.00.30.30.20.6,4.2,1.5,0.2
29,0.81.12.12.44.13.44.03.42.92.53.03.23.33.54.74.25.34.26.14.63.55.64.63.3,6.1,3.7,0.8
30,2.34.15.45.14.65.23.75.22.02.81.71.35.24.54.64.84.44.85.44.94.93.84.65.2,5.4,4.1,1.3
TOTAL,2.72.72.72.72.82.92.82.92.62.62.52.53.13.23.84.04.04.03.43.13.22.82.62.8,5.4,3.0,1.1
