어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)갑오징어,포항,1미,S/P,6,5.0,"70,000","50,000","66,700"
(선)갑오징어,포항,4미,S/P,3,10.0,"50,000","50,000","50,000"
(선)갑오징어,속초,3미,S/P,1,5.0,"30,000","30,000","30,000"
(선)갑오징어,군산,대,box,35,10.0,"17,200","15,300","16,400"
(선)갑오징어,속초,2미,S/P,2,1.0,"15,000","15,000","15,000"
(선)갑오징어,여수,대,box,61,10.0,"38,500","25,600","32,100"
(선)갑오징어,남해,대,S/P,4,10.0,"15,000","10,000","12,500"
(선)갑오징어,포항,3미,S/P,3,10.0,"80,000","50,000","70,000"
(선)갑오징어,군산,대,box,10,5.0,"5,100","5,100","5,100"
(선)갑오징어,포항,2미,S/P,5,5.0,"40,000","40,000","40,000"
(선)갑오징어,포항,대,S/P,3,10.0,"60,000","50,000","53,300"
(선)갑오징어,속초,2미,S/P,1,5.0,"30,000","30,000","30,000"
(선)갑오징어,속초,대,S/P,3,10.0,"54,000","31,000","45,300"
(선)갑오징어기타,통영,중,kg,1,1.0,"25,000","25,000","25,000"
(선)대포오징어,포항,대,S/P,14.7,1.0,"14,000","8,000","11,100"
(선)대포오징어,포항,대,S/P,1,10.0,"100,000","100,000","100,000"
(선)오징어,군산,20미,S/P,517,10.0,"98,000","68,000","79,900"
(선)오징어,나로도,25미,S/P,2,10.0,"65,000","45,000","55,000"
(선)오징어,제주도,25미,S/P,4,10.0,"50,000","50,000","50,000"
(선)오징어,완도,중,S/P,11,10.0,"80,000","70,000","77,300"
(선)오징어,통영,20미,S/P,159,10.0,"75,000","68,000","71,400"
(선)오징어,후포,20미,S/P,20,10.0,"63,000","61,000","61,100"
(선)오징어,죽변,20미,S/P,54,10.0,"70,000","52,000","57,300"
(선)오징어,태안,25미,S/P,33,10.0,"70,000","70,000","70,000"
(선)오징어,흑산도,20미,S/P,214,15.0,"88,000","73,500","80,200"
(선)오징어,삼천포,20미,S/P,177,10.0,"105,000","72,000","88,600"
(선)오징어,태안,20미,S/P,373,10.0,"90,000","50,000","80,500"
(선)오징어,제주도,20미,S/P,148,8.0,"100,000","65,000","85,600"
(선)오징어,장항,25미,S/P,272,10.0,"80,000","58,000","65,300"
(선)오징어,흑산도,20미,S/P,343,10.0,"83,000","59,000","74,200"
(선)오징어,안흥,20미,S/P,"3,105",10.0,"107,000","35,000","79,200"
(선)오징어,장항,20미,S/P,506,10.0,"113,000","50,000","85,900"
(선)오징어,죽변,대,S/P,2.7,1.0,"18,000","18,000","18,000"
(선)오징어,죽변,대,S/P,114,10.0,"83,000","72,000","78,800"
(선)오징어,제주도,20미,S/P,50,10.0,"86,000","75,000","77,900"
(선)오징어,흑산도,25미,S/P,4,15.0,"65,000","62,000","63,500"
(선)오징어,안흥,25미,S/P,263,10.0,"80,000","58,000","64,100"
(선)오징어,삼천포,25미,S/P,9,10.0,"72,000","72,000","72,000"
(선)오징어,나로도,20미,S/P,211,10.0,"80,000","73,000","77,500"
(선)오징어,부산(기장),20미,S/P,47,10.0,"75,000","65,000","68,400"
(선)오징어,제주도,25미,S/P,8,8.0,"65,000","60,000","63,800"
(선)오징어,안흥,30미,S/P,28,10.0,"51,000","51,000","51,000"
(선)오징어,흑산도,25미,S/P,31,10.0,"63,000","30,000","59,300"
(선)오징어,군산,25미,S/P,279,10.0,"87,000","57,000","66,000"
(선)오징어,태안,대,S/P,12,10.0,"45,000","45,000","45,000"
(선)오징어,안흥,대,S/P,294,10.0,"83,000","73,000","78,700"
(냉)오징어,(원양)포클랜드,M,PAN(펜),"2,200",18.0,"121,200","50,000","116,800"
(냉)오징어,안흥,20미,S/P,70,10.0,"77,000","65,000","73,900"
(냉)오징어,대만,400/600,PAN(펜),5,17.0,"121,000","121,000","121,000"
(냉)오징어,방어진,20미,S/P,53,10.0,"95,000","95,000","95,000"
(냉)오징어,장항,20미,S/P,100,10.0,"83,000","81,000","82,000"
(냉)오징어,방어진,25미,S/P,"1,359",5.0,"35,000","33,000","33,000"
(냉)오징어,(원양)포클랜드,M,PAN(펜),100,18.5,"156,100","156,100","156,100"
(냉)오징어,중국,10미,CT/(BT),100,6.0,"18,800","18,800","18,800"
(냉)오징어,중국,10미,CT/(BT),50,3.0,"18,600","18,600","18,600"
(냉)오징어,(원양)포클랜드,중,PAN(펜),100,10.0,"82,400","82,400","82,400"
(냉)오징어,군산,20미,S/P,25,10.0,"85,000","82,000","84,800"
(냉)오징어,중국,400/600,CT/(BT),70,8.0,"89,900","86,700","88,100"
(냉)오징어,(원양)포클랜드,L,PAN(펜),320,18.5,"160,300","146,700","156,100"
(냉)오징어,격포,20미,S/P,2,10.0,"70,000","70,000","70,000"
(냉)오징어,중국,400/600,CT/(BT),5,10.0,"100,000","100,000","100,000"
(냉)오징어,기타(국내),대,PAN(펜),"1,427",8.0,"131,000","131,000","131,000"
(냉)오징어,기타(국내),20미,S/P,50,10.0,"87,800","87,800","87,800"
