일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,22.522.622.722.722.822.822.622.822.222.122.122.122.222.322.422.622.822.622.822.522.322.122.122.1,22.9,22.4,22.1
02,22.122.122.122.222.322.522.522.522.121.921.921.921.921.922.022.122.422.122.923.122.522.222.122.1,23.1,22.2,21.9
03,22.122.222.222.222.222.422.522.422.822.522.322.122.122.122.122.322.522.323.423.924.023.522.722.3,24.0,22.6,22.1
04,22.322.422.422.422.422.422.622.423.122.922.522.322.222.322.322.322.422.322.923.223.223.523.222.7,23.5,22.6,22.2
05,22.622.722.622.622.622.622.622.623.023.123.022.822.722.822.922.922.922.923.123.523.824.224.023.4,24.2,23.0,22.6
06,23.023.023.022.922.922.923.022.923.323.523.523.323.022.823.023.123.123.123.223.323.623.723.823.9,23.9,23.2,22.8
07,23.623.423.523.523.523.523.523.523.523.723.923.923.723.623.523.623.623.623.623.723.824.024.224.3,24.3,23.7,23.4
08,24.323.923.723.723.723.723.723.723.823.924.224.524.624.724.123.823.823.823.823.924.124.725.125.3,25.3,24.1,23.7
09,25.525.324.223.823.723.623.623.623.824.024.424.724.924.624.624.123.624.123.723.723.824.124.124.2,25.5,24.1,23.6
10,24.224.023.623.523.523.523.423.523.523.523.523.523.523.423.323.323.323.323.423.423.323.323.323.3,24.2,23.5,23.3
11,23.323.223.023.223.223.223.123.223.123.123.123.023.023.022.922.922.922.922.923.023.022.922.822.9,23.3,23.0,22.8
12,22.822.923.023.022.922.923.022.923.023.022.922.923.023.123.323.223.123.222.922.923.023.023.023.1,23.3,23.0,22.8
13,23.223.223.223.323.123.023.023.023.023.023.023.023.123.223.323.723.323.722.923.023.023.123.023.0,23.7,23.1,22.9
14,23.123.323.523.623.323.123.023.123.123.123.123.123.223.323.423.823.723.823.123.023.123.123.223.2,23.8,23.2,23.0
15,23.223.223.323.423.423.423.223.423.123.123.123.123.223.223.323.624.023.623.223.123.023.123.123.1,24.0,23.3,23.0
16,23.123.223.223.323.323.423.323.423.023.023.023.023.023.123.223.323.523.323.323.123.023.023.023.1,23.5,23.2,23.0
17,23.123.123.123.123.223.223.323.223.223.123.023.023.023.023.023.123.423.124.024.123.623.223.123.2,24.1,23.3,23.0
18,23.223.323.323.323.323.423.523.423.623.523.423.523.623.623.623.623.723.624.124.124.223.923.823.8,24.2,23.6,23.2
19,24.124.124.124.124.124.124.024.124.124.224.224.224.224.224.224.224.324.224.324.424.624.824.524.4,24.8,24.2,24.0
20,24.324.524.524.524.524.524.424.524.524.624.624.424.424.424.524.524.524.524.524.624.724.724.824.6,24.8,24.5,24.3
21,24.524.724.824.824.624.624.624.624.724.824.824.724.724.724.924.925.024.925.025.125.325.225.325.3,25.3,24.9,24.5
22,25.025.025.325.125.025.025.125.025.125.225.325.325.125.025.125.325.325.325.225.325.425.625.625.7,25.7,25.2,25.0
23,25.525.425.425.425.425.425.425.425.425.525.625.725.625.525.525.525.625.525.525.525.625.725.725.8,25.8,25.5,25.4
24,25.925.725.625.625.625.525.525.525.625.625.725.925.925.825.625.625.725.625.825.725.725.925.926.0,26.0,25.7,25.5
25,26.226.325.925.825.925.925.925.925.925.925.926.126.326.426.225.926.025.926.126.126.126.126.226.2,26.4,26.1,25.8
26,26.426.626.626.226.226.126.026.125.926.026.126.326.626.626.526.226.026.226.126.026.126.126.126.3,26.6,26.2,25.9
27,26.426.626.626.526.226.226.126.226.126.126.226.226.426.626.726.626.226.626.226.226.226.326.226.2,26.7,26.3,26.0
28,26.326.526.626.526.426.226.326.226.326.326.326.326.426.526.826.726.626.726.326.326.426.426.526.4,26.8,26.4,26.2
29,26.426.526.626.626.526.426.426.426.526.526.526.626.626.726.826.927.126.926.926.726.726.726.726.8,27.1,26.6,26.4
30,26.826.826.926.926.926.926.826.926.926.926.926.927.026.927.027.127.227.127.127.026.926.826.826.8,27.3,26.9,26.8
31,26.926.926.927.027.127.127.027.126.926.826.726.726.826.826.927.027.127.027.427.427.126.926.826.8,27.4,27.0,26.7
TOTAL,24.324.324.224.224.224.224.224.224.224.224.224.224.224.324.324.324.324.324.424.424.424.424.424.4,24.9,24.3,24.0
