일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,24.024.023.923.823.924.124.124.124.724.824.824.323.923.924.024.124.224.124.725.025.425.725.925.3,25.9,24.5,23.8
02,24.424.424.324.224.224.324.424.324.624.825.425.224.724.424.524.824.824.824.724.925.225.225.526.2,26.2,24.8,24.2
03,26.025.325.124.924.824.824.924.825.225.425.926.125.825.124.925.025.025.025.125.125.425.625.926.0,26.1,25.3,24.8
04,26.325.725.325.225.025.025.125.025.225.325.425.726.225.825.425.425.325.425.325.425.425.625.825.9,26.3,25.5,25.0
05,26.226.325.825.625.225.125.225.125.425.525.625.726.026.426.125.725.725.725.725.725.825.826.026.1,26.4,25.7,25.1
06,26.326.526.426.025.925.525.525.525.625.825.926.026.126.426.626.326.126.326.026.126.126.126.126.3,26.6,26.1,25.5
07,26.426.526.726.526.426.225.726.225.826.026.126.326.426.926.926.626.226.625.925.825.825.925.926.1,26.9,26.2,25.7
08,26.326.526.726.526.325.925.925.925.725.825.826.026.226.526.826.826.426.825.725.725.725.725.825.8,26.8,26.1,25.7
09,25.926.226.326.326.125.925.725.925.725.625.725.826.026.126.326.726.926.726.125.725.625.425.425.5,26.9,26.0,25.4
10,25.625.725.925.725.525.325.225.324.824.824.925.025.125.225.425.826.325.826.726.225.324.924.624.5,26.7,25.4,24.5
11,24.624.824.925.125.525.826.225.825.524.323.923.823.924.425.125.626.225.626.025.825.024.023.423.1,26.4,25.0,23.1
12,23.123.223.223.323.723.924.123.924.224.023.623.323.323.423.523.623.823.624.124.224.123.623.323.2,24.3,23.7,23.1
13,23.323.323.323.323.423.423.523.423.823.723.523.523.523.523.623.623.623.623.824.024.224.023.623.6,24.2,23.6,23.3
14,23.523.523.523.623.623.623.723.624.024.224.023.823.623.623.623.723.823.724.424.624.925.024.824.2,25.0,24.0,23.5
15,23.823.623.623.623.723.823.923.824.424.624.424.023.723.523.623.623.623.624.024.424.925.125.425.1,25.4,24.1,23.5
16,24.123.823.823.723.823.823.923.824.424.825.024.523.923.723.723.823.923.824.024.425.025.225.425.5,25.5,24.3,23.7
17,24.724.324.324.124.124.224.324.224.524.825.125.024.524.124.124.224.224.224.324.525.025.425.525.6,25.6,24.6,24.1
18,25.424.724.624.524.424.424.624.424.724.925.325.325.124.624.424.424.424.424.524.524.925.325.725.7,25.7,24.8,24.4
19,25.825.224.824.824.624.524.724.525.025.125.425.525.525.024.624.624.524.624.524.624.825.225.626.2,26.2,25.0,24.5
20,26.626.025.024.724.624.524.524.524.825.025.425.825.925.424.624.424.624.424.524.624.624.825.125.5,26.6,25.0,24.4
21,25.725.524.824.624.724.524.524.524.624.624.725.025.225.324.924.524.524.524.524.624.524.624.725.0,25.7,24.8,24.5
22,25.325.325.024.724.724.724.724.724.724.724.825.025.125.225.225.024.925.024.924.824.925.025.025.1,25.3,24.9,24.7
23,25.525.725.625.325.125.125.125.125.225.225.325.525.825.825.825.525.425.525.425.425.425.525.425.5,25.8,25.4,25.1
24,25.625.725.725.625.425.325.425.325.325.325.425.525.625.925.825.725.425.725.225.225.225.225.225.2,25.9,25.4,25.2
25,25.325.425.625.625.425.225.125.225.125.125.225.325.425.625.725.825.625.825.125.025.025.025.025.1,25.8,25.3,25.0
26,25.125.125.225.225.225.125.125.125.125.025.225.225.125.225.325.525.525.525.125.024.924.824.824.8,25.5,25.1,24.8
27,24.924.925.025.125.125.125.125.124.924.924.924.924.925.025.025.125.225.125.325.225.024.924.824.7,25.3,25.0,24.7
28,24.824.824.824.824.925.025.125.025.124.824.724.724.724.724.724.824.924.825.225.225.124.924.724.7,25.2,24.9,24.7
29,24.724.724.724.724.724.724.824.724.924.824.724.724.724.724.724.724.824.725.025.225.225.225.224.9,25.2,24.8,24.7
30,24.924.924.924.925.025.025.025.025.125.225.125.024.924.925.025.025.025.025.025.125.225.225.325.2,25.3,25.0,24.9
31,25.025.025.025.025.025.025.025.025.125.225.225.225.024.924.924.925.024.925.025.125.225.325.425.6,25.6,25.1,24.9
TOTAL,25.125.025.024.924.824.824.824.824.925.025.025.025.025.025.025.025.025.025.025.125.125.125.225.2,25.8,25.0,24.5
