일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,4.17.65.52.63.93.14.73.15.57.97.76.15.96.96.56.85.16.85.97.59.88.17.98.5,9.8,6.3,2.6
02,7.17.88.78.58.47.06.07.05.03.21.20.92.93.84.74.13.64.12.83.82.62.52.31.9,8.7,4.5,0.9
03,0.50.90.83.54.04.64.64.61.83.22.72.55.36.06.36.25.86.23.84.13.52.11.92.5,6.3,3.5,0.5
04,1.61.40.71.42.12.71.62.71.20.30.20.20.72.82.42.31.72.30.90.70.41.01.91.5,2.8,1.3,0.2
05,3.52.33.95.45.75.34.95.35.54.74.64.15.54.66.36.87.06.86.66.26.05.76.76.9,7.0,5.5,2.3
06,6.46.36.76.36.86.76.76.76.66.25.73.81.71.30.92.22.62.21.51.90.92.11.81.9,7.0,4.0,0.9
07,1.41.61.61.92.52.53.52.51.51.61.00.63.24.54.15.85.65.84.75.67.36.25.55.6,7.3,3.6,0.6
08,6.35.44.54.93.44.37.34.34.35.15.35.03.95.95.87.47.27.45.25.54.94.34.13.8,7.4,5.3,3.4
09,6.24.95.65.45.55.44.95.42.81.41.21.11.21.72.73.24.03.22.11.00.62.11.62.3,6.2,3.1,0.6
10,2.92.11.91.13.63.42.83.43.63.23.31.61.21.62.44.54.44.52.63.82.81.10.60.7,4.5,2.6,0.6
11,0.60.81.20.20.30.40.90.41.32.00.90.81.20.41.00.50.50.52.51.91.73.02.31.8,3.0,1.2,0.2
12,1.91.00.90.51.60.61.10.61.11.80.91.10.93.74.55.35.75.36.85.15.44.83.62.8,7.1,2.9,0.5
13,2.73.03.02.52.31.82.01.83.23.01.53.31.42.35.25.63.25.67.06.35.24.94.24.6,7.0,3.6,1.4
14,5.13.93.62.31.01.34.61.31.01.91.81.51.63.33.96.45.96.44.84.23.52.72.62.3,6.4,3.2,1.0
15,3.53.72.71.61.00.80.90.80.41.40.90.71.43.15.95.75.55.75.54.83.01.82.22.1,5.9,2.8,0.4
16,2.10.61.20.50.20.60.80.61.51.31.10.91.13.34.03.63.33.61.51.72.21.73.21.5,4.0,1.8,0.2
17,0.50.61.60.30.60.40.90.43.93.74.64.94.44.33.46.07.86.06.97.98.79.37.93.3,9.3,4.4,0.3
18,3.93.33.21.61.63.13.03.11.73.02.80.93.34.95.04.74.64.71.61.81.62.23.14.3,5.0,2.9,0.9
19,2.92.62.12.32.11.41.61.43.63.84.24.37.47.98.410.18.410.17.47.08.47.47.76.6,10.1,5.4,1.4
20,6.95.26.05.65.24.55.54.56.26.17.15.05.55.05.94.04.54.04.95.15.37.16.04.3,7.1,5.4,4.0
21,3.73.34.03.63.32.83.92.82.02.22.21.30.91.11.12.74.12.72.12.21.41.20.80.0,4.1,2.4,0.0
22,0.00.30.40.91.01.21.11.21.30.64.96.76.46.14.32.31.72.31.50.80.43.04.93.8,6.7,2.4,0.0
23,4.94.65.05.06.03.02.03.02.12.52.12.42.02.61.82.82.72.82.02.30.80.71.52.5,6.0,2.7,0.7
24,2.00.91.32.02.73.43.13.44.94.54.03.53.03.23.13.23.03.22.53.23.33.64.24.3,4.9,3.1,0.9
25,3.84.04.13.32.73.02.73.03.32.83.23.62.63.13.83.03.03.03.95.05.35.24.84.5,5.3,3.6,2.6
26,4.23.83.94.43.95.13.55.14.15.94.54.23.02.62.72.41.82.41.21.51.40.20.32.1,5.9,3.0,0.2
27,1.80.50.80.60.40.30.30.31.01.01.42.45.15.14.23.82.83.81.50.90.51.02.41.0,5.1,1.8,0.3
28,1.11.40.61.21.62.03.22.01.63.23.22.13.31.93.42.52.52.53.73.82.74.14.83.6,4.8,2.7,0.6
29,3.33.53.73.73.71.72.61.72.63.44.97.67.66.16.46.26.86.24.34.95.44.95.75.7,7.6,4.7,1.7
30,4.42.82.61.21.00.50.60.50.50.50.82.93.10.80.40.51.00.54.35.46.15.24.91.8,6.1,2.2,0.4
31,1.82.03.12.81.20.61.80.63.22.62.52.91.10.91.82.00.82.00.60.50.30.20.51.2,3.8,1.6,0.2
TOTAL,3.33.03.12.82.92.73.02.72.83.03.02.93.23.63.94.34.14.33.63.73.63.53.63.2,6.2,3.3,1.0
