일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,20.820.620.520.420.320.120.020.120.120.120.220.420.520.720.720.820.920.820.820.720.720.620.520.4,20.9,20.5,20.0
02,20.420.320.320.320.320.320.220.320.120.220.220.420.720.620.520.620.920.621.020.920.920.820.620.4,21.0,20.5,20.1
03,20.320.320.320.320.420.420.320.420.320.320.320.420.620.520.520.520.520.520.720.820.720.620.520.4,20.8,20.4,20.3
04,20.520.520.620.620.520.520.320.520.420.520.520.620.720.920.920.620.520.620.520.920.920.820.720.5,20.9,20.6,20.3
05,20.720.720.720.720.720.720.420.720.320.520.620.720.720.920.920.820.720.820.420.420.520.520.520.6,20.9,20.6,20.3
06,20.520.420.420.320.320.320.320.320.220.220.320.520.520.720.720.620.520.620.420.220.220.420.420.4,20.7,20.4,20.2
07,20.420.420.420.320.320.220.220.220.220.220.120.120.220.320.620.720.720.720.620.520.420.420.520.6,20.7,20.4,20.1
08,20.520.520.620.520.520.520.420.520.520.420.320.420.420.420.420.420.420.420.420.420.420.420.420.4,20.6,20.4,20.3
09,20.420.320.320.320.320.320.320.320.320.320.420.420.620.821.121.121.321.121.120.920.620.620.520.6,21.3,20.6,20.3
10,20.720.820.820.920.820.920.820.920.920.820.920.920.821.121.622.122.622.122.722.222.021.521.421.3,22.9,21.3,20.7
11,21.021.121.121.021.121.121.021.121.121.221.121.121.221.622.022.222.022.222.322.122.021.821.421.1,22.3,21.5,21.0
12,21.121.221.021.121.121.021.021.021.021.121.121.221.421.622.022.522.722.522.822.722.522.522.322.1,22.8,21.7,20.9
13,21.721.621.521.521.621.621.521.621.621.821.821.922.022.021.821.822.121.823.022.822.822.822.722.6,23.0,22.0,21.5
14,22.522.422.522.422.422.322.322.322.422.422.522.622.522.622.522.422.422.422.923.223.323.323.423.3,23.4,22.6,22.3
15,23.323.223.122.822.922.922.922.922.923.023.023.023.323.423.524.024.124.024.224.124.123.923.823.7,24.2,23.4,22.8
16,23.823.723.323.423.623.523.523.523.523.523.723.824.024.124.124.224.324.223.924.224.124.124.023.9,24.3,23.8,23.3
17,23.823.823.823.723.723.623.523.623.423.423.523.523.523.523.623.623.623.623.523.623.623.523.523.5,23.8,23.6,23.4
18,23.523.423.423.423.323.323.323.323.223.323.423.523.723.823.924.024.424.024.124.123.923.323.523.9,24.4,23.6,23.2
19,23.723.823.523.523.423.223.023.223.323.523.423.423.623.523.423.523.623.523.824.024.023.723.423.5,24.0,23.5,23.0
20,23.523.723.623.423.323.223.023.222.622.822.722.722.922.922.922.822.522.822.022.122.222.222.422.4,23.7,22.8,22.0
21,22.322.322.322.322.222.222.122.222.022.222.522.522.722.722.822.722.422.722.122.222.322.222.022.1,22.8,22.3,21.9
22,21.922.022.522.622.622.422.122.421.922.022.222.221.922.122.322.522.522.522.222.122.022.021.821.9,22.6,22.2,21.8
23,21.921.821.921.921.921.821.921.821.921.821.921.922.022.122.322.623.022.622.822.021.721.821.821.8,23.1,22.1,21.7
24,21.821.721.721.721.721.721.721.721.821.821.721.621.822.322.522.722.722.722.822.622.121.921.922.0,22.8,22.0,21.6
25,22.022.122.022.021.921.921.821.921.821.821.821.721.721.721.922.022.122.022.122.122.122.122.021.9,22.1,21.9,21.7
26,21.822.021.921.821.821.821.721.821.721.921.922.122.122.122.022.022.022.022.322.222.122.122.222.1,22.3,22.0,21.7
27,22.022.022.122.122.222.122.122.122.122.122.122.122.122.122.122.022.122.022.022.022.021.921.921.9,22.2,22.1,21.9
28,21.921.921.921.821.821.721.721.721.922.022.122.322.322.422.422.322.222.322.422.622.622.722.722.9,22.9,22.2,21.7
29,22.822.622.722.722.722.822.822.822.822.722.422.422.322.322.222.222.022.222.022.122.222.422.622.5,22.8,22.5,22.0
30,22.422.422.422.222.222.222.322.222.322.222.221.922.122.222.322.121.922.121.922.022.322.322.222.2,22.4,22.2,21.9
TOTAL,21.821.821.821.721.721.721.621.721.621.721.721.721.821.922.022.122.122.122.122.122.022.021.921.9,22.4,21.9,21.5
