어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)갑오징어,속초,7미,S/P,1,10.0,"40,000","40,000","40,000"
(선)갑오징어,여수,중,box,13,10.0,"20,300","20,300","20,300"
(선)갑오징어,속초,5미,S/P,7,10.0,"35,000","35,000","35,000"
(선)갑오징어,군산,대,box,639,10.0,"23,500","9,100","14,700"
(선)갑오징어,군산,5코,box,260,10.0,"18,500","9,600","13,800"
(선)갑오징어,군산,3코,box,25,10.0,"25,000","14,700","17,500"
(선)갑오징어,여수,대,box,613,10.0,"28,500","12,300","22,000"
(선)갑오징어,태안,중,kg,17,1.0,"4,000","4,000","4,000"
(선)갑오징어,군산,10코,box,135,10.0,"18,300","16,100","17,000"
(선)갑오징어,속초,6미,S/P,11,10.0,"40,000","25,000","27,700"
(선)갑오징어,여수,중,box,12,15.0,"20,200","18,300","19,100"
(선)갑오징어,군산,중,box,33,5.0,"15,700","14,600","15,200"
(선)갑오징어,속초,9미,S/P,4,10.0,"25,000","23,000","24,500"
(선)갑오징어,남해,대,S/P,1,10.0,"30,000","30,000","30,000"
(선)갑오징어,장항,대,box,32,10.0,"14,100","14,100","14,100"
(선)갑오징어,군산,중,box,7,10.0,"14,600","13,500","14,300"
(선)갑오징어,군산,6코,box,14,10.0,"14,700","14,700","14,700"
(선)갑오징어,속초,대,S/P,5,10.0,"42,000","30,000","34,400"
(냉)갑오징어,보령,대,S/P,20,10.0,"100,000","100,000","100,000"
(선)오징어,태안,20미,S/P,"1,443",10.0,"65,000","23,000","51,900"
(선)오징어,통영,20미,S/P,50,10.0,"58,000","58,000","58,000"
(선)오징어,후포,20미,S/P,167,10.0,"70,000","60,000","63,700"
(선)오징어,감포,20미,S/P,82,10.0,"63,000","60,000","60,700"
(선)오징어,죽변,20미,S/P,228,10.0,"85,000","27,000","56,500"
(선)오징어,태안,25미,S/P,907,10.0,"55,000","24,000","39,800"
(선)오징어,장항,25미,S/P,884,10.0,"51,000","31,000","43,100"
(선)오징어,군산,20미,S/P,667,10.0,"58,000","40,000","50,100"
(선)오징어,거제도,20미,S/P,21,10.0,"62,000","30,000","60,500"
(선)오징어,속초,중,S/P,50,10.0,"56,000","55,000","55,000"
(선)오징어,삼천포,20미,S/P,28,10.0,"56,000","52,000","54,600"
(선)오징어,안흥,소,S/P,4,10.0,"45,000","45,000","45,000"
(선)오징어,죽변,25미,S/P,57,10.0,"51,000","27,000","39,600"
(선)오징어,죽변,중,S/P,20,10.0,"37,000","37,000","37,000"
(선)오징어,흑산도,중,S/P,179,10.0,"52,000","33,000","45,600"
(선)오징어,장항,20미,S/P,697,10.0,"72,000","38,500","50,700"
(선)오징어,태안,파치,S/P,1,10.0,"27,000","27,000","27,000"
(선)오징어,구룡포,20미,S/P,450,10.0,"77,000","55,000","64,100"
(선)오징어,안흥,25미,S/P,"2,148",10.0,"60,000","25,000","39,100"
(선)오징어,구룡포,25미,S/P,70,10.0,"46,000","45,000","45,500"
(선)오징어,안흥,중,S/P,497,10.0,"58,000","33,000","55,600"
(선)오징어,군산,25미,S/P,331,10.0,"50,000","38,000","44,900"
(선)오징어,안흥,30미,S/P,10,10.0,"27,000","27,000","27,000"
(선)오징어,부산(기장),중,S/P,132,10.0,"25,000","25,000","25,000"
(선)오징어,흑산도,20미,S/P,367,10.0,"67,000","55,000","56,300"
(선)오징어,안흥,20미,S/P,"10,409",10.0,"85,000","25,000","50,200"
(선)오징어,방어진,20미,S/P,19,10.0,"50,000","50,000","50,000"
(냉)오징어,장항,20미,S/P,130,10.0,"52,000","46,000","47,300"
(냉)오징어,안흥,20미,S/P,"1,022",10.0,"52,000","30,000","44,800"
(냉)오징어,기타(국내),중,PAN(펜),"1,130",8.0,"69,000","69,000","69,000"
(냉)오징어,(원양)포클랜드,M,PAN(펜),640,18.0,"110,000","60,000","109,500"
(냉)오징어,중국,300/400,CT/(BT),50,8.0,"54,300","54,300","54,300"
(냉)오징어,태안,20미,S/P,"1,115",10.0,"52,000","37,000","44,400"
(냉)오징어,중국,10미,CT/(BT),100,3.0,"17,800","17,000","17,400"
(냉)오징어,기타(국내),중,PAN(펜),138,8.5,"60,000","60,000","60,000"
(냉)오징어,중국,18/19미,CT/(BT),50,4.0,"30,800","30,800","30,800"
(냉)오징어,안흥,25미,S/P,145,10.0,"38,000","36,000","36,100"
(냉)오징어,중국,400/600,CT/(BT),170,8.0,"55,400","54,300","55,100"
(냉)오징어,(원양)포클랜드,L,PAN(펜),370,18.0,"107,000","107,000","107,000"
(냉)오징어,기타(국내),대,PAN(펜),"1,850",8.0,"73,000","73,000","73,000"
(냉)오징어,스페인,중,CT/(BT),168,4.0,"30,000","30,000","30,000"
(냉)오징어,죽변,20미,S/P,160,10.0,"49,000","49,000","49,000"
