일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,9.89.99.99.99.99.99.99.99.99.99.99.99.99.99.99.99.99.99.99.99.910.010.010.0,10.0,9.9,9.8
02,10.010.010.010.010.010.010.010.010.110.110.010.010.010.010.010.010.010.010.110.110.110.110.110.1,10.1,10.0,10.0
03,10.110.110.110.110.010.110.110.110.110.110.110.110.110.110.110.110.110.110.110.110.110.110.110.1,10.1,10.1,10.0
04,10.110.110.110.110.110.110.110.110.210.210.210.210.210.210.210.210.210.210.210.210.210.210.210.2,10.2,10.2,10.1
05,10.210.210.210.210.210.310.310.310.310.310.310.310.310.310.310.310.310.310.310.310.310.410.410.4,10.4,10.3,10.2
06,10.410.410.410.410.410.410.410.410.510.510.510.510.510.510.510.510.510.510.510.510.510.510.610.6,10.6,10.5,10.4
07,10.610.610.610.610.610.610.610.610.710.710.710.710.710.710.710.710.710.710.710.810.810.810.810.8,10.8,10.7,10.6
08,10.810.810.810.810.810.810.810.810.910.910.910.910.910.910.910.910.910.910.910.910.910.910.910.9,10.9,10.9,10.8
09,10.910.911.011.011.010.911.010.911.011.111.111.111.111.111.111.211.211.211.111.211.211.211.111.1,11.2,11.1,10.9
10,11.211.211.211.311.411.311.211.311.311.311.211.211.211.211.311.411.511.411.311.411.411.311.311.3,11.5,11.3,11.2
11,11.311.311.411.511.611.611.511.611.511.511.411.411.411.411.511.611.711.611.611.611.611.611.511.5,11.7,11.5,11.3
12,11.511.511.611.711.811.811.811.811.611.611.511.511.511.511.511.611.811.611.911.711.711.811.811.8,12.1,11.7,11.5
13,11.811.811.811.811.912.012.012.011.911.811.911.911.911.911.911.912.011.912.012.011.911.911.911.9,12.0,11.9,11.8
14,11.912.012.012.012.012.012.012.012.012.011.911.911.911.911.911.911.911.912.012.012.012.011.911.9,12.0,12.0,11.9
15,11.911.912.012.012.012.012.012.012.012.012.012.012.011.912.011.912.011.911.911.911.911.912.011.9,12.0,12.0,11.9
16,11.911.911.911.911.911.911.911.912.012.012.012.012.012.012.012.012.012.012.012.012.012.012.012.0,12.0,12.0,11.9
17,12.012.012.012.012.011.911.911.912.012.012.012.112.112.012.012.012.012.012.012.012.012.012.012.1,12.1,12.0,11.9
18,12.112.012.012.012.012.112.112.112.112.112.112.112.212.212.112.112.112.112.112.112.112.112.212.2,12.2,12.1,12.0
19,12.312.412.312.212.212.212.212.212.312.312.312.312.412.412.412.312.312.312.312.212.212.312.312.4,12.4,12.3,12.2
20,12.412.512.512.412.412.412.412.412.512.512.512.512.512.612.612.512.512.512.512.512.512.512.512.5,12.6,12.5,12.4
21,12.612.712.712.712.612.612.612.612.612.612.612.612.712.712.812.812.712.812.812.712.712.712.712.7,12.8,12.7,12.6
22,12.812.812.912.912.812.812.812.812.812.812.812.812.912.913.013.113.013.113.013.013.012.912.913.0,13.1,12.9,12.8
23,13.013.013.113.213.213.113.113.113.013.012.913.013.013.113.213.313.313.313.113.213.213.313.313.3,13.3,13.1,12.9
24,13.313.313.313.413.413.413.313.413.313.313.313.313.413.413.413.413.513.413.413.413.413.413.413.4,13.5,13.4,13.3
25,13.413.513.513.513.513.513.513.513.413.413.313.313.313.313.413.413.513.413.413.413.413.413.413.4,13.5,13.4,13.3
26,13.413.413.413.513.513.513.513.513.413.413.413.413.413.413.413.413.513.413.513.413.413.413.413.4,13.5,13.4,13.4
27,13.513.513.513.513.513.513.513.513.513.513.413.413.413.413.413.413.513.413.513.513.513.413.413.4,13.5,13.5,13.4
28,13.413.413.413.413.513.513.513.513.513.413.413.413.413.413.413.413.513.413.613.513.513.513.513.4,13.6,13.5,13.4
29,13.413.413.413.413.513.513.513.513.513.513.413.413.413.413.413.413.513.413.513.513.513.513.513.5,13.5,13.5,13.4
30,13.513.513.513.513.513.513.513.513.613.613.513.613.513.513.513.513.513.513.613.613.613.713.713.7,13.7,13.6,13.5
31,13.713.613.613.613.613.613.513.613.613.713.813.813.813.713.713.713.613.713.613.613.713.713.713.8,13.8,13.7,13.5
TOTAL,11.911.911.911.911.912.011.912.012.012.011.911.912.012.012.012.012.012.012.012.012.012.012.012.0,12.1,12.0,11.9
