일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,0.60.60.80.60.50.80.80.80.40.91.51.81.21.52.74.12.84.10.90.60.91.21.01.1,4.1,1.2,0.4
02,1.41.50.80.50.91.20.61.20.60.61.42.34.34.54.33.42.93.41.71.61.21.01.00.5,4.5,1.7,0.5
03,0.90.91.81.71.72.11.62.12.22.71.91.31.11.72.61.31.91.31.00.81.20.80.90.6,2.7,1.5,0.6
04,0.60.50.70.60.50.60.60.60.60.71.63.83.42.52.42.20.92.21.50.90.80.60.71.0,3.8,1.2,0.5
05,0.60.60.60.61.52.22.02.21.61.51.21.22.82.62.52.72.02.72.01.31.41.31.10.9,2.8,1.6,0.6
06,0.91.40.80.70.60.60.60.60.41.22.72.01.32.12.51.50.71.50.70.91.00.81.10.9,2.7,1.1,0.4
07,0.70.70.60.50.70.60.30.60.51.31.61.51.51.42.12.93.32.92.31.71.41.22.04.2,4.2,1.5,0.3
08,1.70.91.11.32.74.95.34.94.75.46.05.15.05.55.45.95.85.94.66.04.64.12.31.1,6.0,4.2,0.9
09,1.81.92.53.12.11.11.01.11.62.23.02.72.02.51.72.92.02.91.71.10.90.60.70.7,3.1,1.8,0.6
10,0.70.40.40.60.70.90.70.90.80.91.11.24.74.43.62.61.52.61.81.01.10.91.10.9,4.7,1.4,0.4
11,0.71.51.30.90.90.91.60.92.42.83.74.13.62.72.63.12.13.11.10.71.12.01.61.2,4.1,1.9,0.7
12,1.00.91.10.80.80.50.50.50.82.12.83.13.83.73.02.32.12.31.41.01.00.90.81.2,3.8,1.6,0.5
13,0.60.70.90.90.80.70.60.72.42.22.42.32.82.32.51.41.31.41.41.21.11.00.80.8,2.8,1.4,0.6
14,0.80.80.60.80.90.90.70.90.21.11.11.21.31.73.43.02.63.03.12.21.51.72.02.0,3.4,1.6,0.2
15,1.81.81.81.30.50.70.90.70.80.81.71.72.01.82.31.72.01.71.61.01.60.81.01.0,2.3,1.4,0.5
16,0.60.40.70.50.60.50.80.50.31.11.52.12.01.51.72.11.82.12.11.60.51.11.10.7,2.1,1.2,0.3
17,0.60.80.40.70.80.70.60.70.61.31.13.32.11.91.41.61.41.61.51.11.11.01.01.2,3.3,1.2,0.4
18,1.21.10.91.00.80.90.90.90.60.71.11.62.12.32.22.11.62.11.91.41.10.80.70.7,2.3,1.3,0.6
19,0.60.60.80.70.50.71.00.71.61.91.91.92.21.62.42.52.22.52.92.23.73.22.82.3,3.7,1.9,0.5
20,1.61.21.21.10.91.01.01.01.01.61.11.71.72.32.11.81.71.81.31.11.01.21.31.6,2.3,1.4,0.7
21,1.52.12.11.91.10.91.10.91.00.91.32.02.82.01.91.92.21.91.71.21.00.60.60.7,2.8,1.5,0.6
22,1.00.80.80.70.70.60.90.60.30.41.20.91.21.32.01.91.11.91.11.10.90.80.80.6,2.0,0.9,0.3
23,0.80.60.40.80.50.70.60.70.30.50.81.41.31.31.22.11.82.11.11.10.70.60.60.8,2.1,0.9,0.3
24,0.70.80.60.40.60.30.60.30.50.40.81.21.51.71.72.41.72.41.31.10.80.80.90.8,2.4,1.0,0.3
25,0.90.60.60.80.80.70.70.70.30.20.41.21.31.31.91.11.41.11.40.91.00.70.70.9,1.9,0.9,0.2
26,0.70.80.60.60.60.30.40.30.50.50.61.21.41.71.11.61.81.60.70.40.40.30.71.0,1.8,0.8,0.3
27,0.70.50.80.60.30.91.40.91.11.41.11.21.51.21.43.92.63.90.40.51.31.10.91.2,3.9,1.2,0.3
28,1.10.90.80.40.70.90.50.90.30.30.83.02.41.11.41.91.81.91.91.61.21.01.11.1,3.0,1.2,0.3
29,1.10.90.80.80.80.81.20.80.61.22.11.72.02.21.42.21.92.22.21.51.31.11.01.1,2.2,1.4,0.6
30,0.80.81.10.70.70.80.70.80.60.40.81.63.12.91.72.42.02.41.41.20.91.01.00.7,3.1,1.2,0.4
31,0.90.80.70.70.60.30.40.30.50.40.91.41.72.31.51.01.91.01.41.10.90.80.70.7,2.3,1.0,0.3
TOTAL,1.00.90.90.90.91.01.01.01.01.31.62.02.32.22.32.42.02.41.61.31.21.11.11.1,3.1,1.4,0.5
