일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,0.91.40.60.80.80.50.80.50.81.02.22.01.22.22.42.32.42.32.62.12.31.21.82.1,2.6,1.6,0.5
02,2.80.93.12.62.42.72.82.72.74.14.85.55.26.26.66.85.86.85.45.54.83.64.24.1,6.8,4.2,0.9
03,6.14.44.14.74.22.51.52.54.14.84.95.16.44.94.43.74.23.73.82.72.72.43.43.5,6.4,4.0,1.5
04,4.14.12.33.03.01.92.21.92.12.11.81.21.51.62.52.12.32.11.10.70.90.71.21.9,4.1,2.0,0.7
05,2.61.62.22.83.52.82.92.82.83.83.42.73.64.55.06.34.36.32.13.44.04.73.14.5,6.3,3.4,1.6
06,4.53.44.62.84.32.53.22.51.61.41.72.33.04.74.84.44.14.41.91.81.70.81.20.6,4.8,2.8,0.6
07,0.60.60.60.41.00.80.90.81.51.61.41.52.02.52.53.03.03.02.92.01.91.81.71.6,3.0,1.7,0.4
08,1.52.01.31.20.71.61.21.61.61.82.42.52.42.33.02.62.42.62.31.81.11.20.80.7,3.0,1.8,0.7
09,0.70.60.60.70.50.70.70.70.61.32.13.22.92.12.92.92.72.91.81.72.93.12.41.6,3.2,1.7,0.5
10,0.50.30.31.11.72.91.02.91.61.71.62.32.23.13.24.54.34.51.12.41.61.10.70.7,4.5,1.8,0.3
11,1.31.63.51.21.20.70.50.74.15.23.85.15.55.26.26.06.46.04.73.33.42.14.43.9,6.4,3.6,0.5
12,2.61.10.71.01.41.21.01.21.11.92.23.42.13.12.93.03.33.02.11.30.91.11.31.0,3.4,1.8,0.7
13,1.00.90.80.90.70.80.90.80.80.82.22.63.02.83.53.63.03.62.12.00.91.00.91.0,3.6,1.7,0.7
14,0.70.61.01.01.20.50.90.50.70.40.90.51.51.21.20.81.20.80.91.01.42.02.23.8,3.8,1.2,0.4
15,2.72.92.61.92.01.92.41.91.10.80.71.11.11.01.32.12.02.11.00.71.11.20.70.9,2.9,1.5,0.7
16,0.90.70.70.50.70.50.80.51.60.90.81.91.72.74.23.51.83.51.31.51.11.01.10.8,4.2,1.4,0.5
17,0.90.80.80.91.00.90.70.90.71.31.52.21.72.43.03.02.43.02.11.51.71.30.60.7,3.0,1.5,0.2
18,1.00.71.00.30.40.60.80.62.23.02.13.84.72.87.27.35.07.33.21.61.52.02.52.5,7.3,2.5,0.3
19,1.40.31.10.30.20.20.00.20.60.40.30.81.11.11.01.20.41.20.70.50.60.71.00.9,1.4,0.6,0.0
20,0.70.50.20.60.40.10.20.10.61.01.42.43.62.52.32.61.12.61.70.80.80.70.60.6,3.6,1.1,0.1
21,0.50.50.70.60.40.30.50.31.64.14.74.03.03.23.64.54.54.54.23.13.93.85.95.5,5.9,2.8,0.2
22,4.44.65.65.55.05.05.45.05.95.84.95.35.74.85.04.34.54.33.94.25.16.95.85.6,6.9,5.1,3.7
23,4.85.15.14.65.35.35.75.35.05.04.84.54.03.13.03.83.73.81.52.63.24.34.63.7,5.7,4.2,1.5
24,4.23.83.63.83.22.81.72.81.52.75.15.36.25.25.04.24.14.25.55.84.94.64.74.1,6.2,4.1,1.2
25,4.35.33.22.22.32.62.12.62.52.31.62.12.63.32.71.61.51.60.80.40.40.80.80.7,5.3,2.1,0.4
26,0.50.70.70.80.60.80.30.81.11.31.51.92.53.33.13.13.63.12.11.60.91.21.10.8,3.6,1.5,0.3
27,0.90.80.90.80.60.70.70.70.91.21.02.51.83.33.42.82.72.82.22.01.81.91.30.9,3.4,1.6,0.5
28,0.80.70.70.80.70.60.70.60.71.21.73.63.22.63.42.93.62.92.71.90.80.50.30.8,3.6,1.6,0.3
29,1.32.33.12.13.33.73.73.73.22.22.41.82.84.14.22.82.12.82.22.02.02.32.71.6,4.2,2.6,1.3
30,1.11.00.90.81.21.01.61.02.21.41.92.53.54.22.53.23.53.22.41.61.51.51.30.7,4.3,2.0,0.7
TOTAL,2.01.81.91.71.81.61.61.61.92.22.42.93.03.23.53.53.23.52.42.12.02.02.12.1,4.4,2.3,0.7
