일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,2.21.82.02.00.73.12.13.12.02.92.32.71.90.61.53.12.43.13.83.64.45.75.65.6,5.7,2.7,0.6
02,5.14.44.14.54.74.74.84.72.83.54.64.95.05.04.03.83.43.82.72.42.52.62.42.1,5.1,3.8,2.1
03,2.21.11.00.80.61.62.11.62.01.61.52.20.90.91.11.11.31.11.20.90.70.80.71.0,2.2,1.3,0.6
04,1.01.01.73.74.76.57.36.57.98.06.56.46.86.96.85.44.85.47.95.75.34.34.64.7,8.0,5.5,1.0
05,4.74.64.93.84.04.04.84.03.94.04.94.85.56.16.46.75.56.75.75.76.56.96.55.9,6.9,5.2,3.8
06,5.85.14.73.93.13.03.53.07.07.89.99.16.55.95.44.24.34.23.33.53.74.25.04.4,9.9,5.1,3.0
07,2.42.52.22.42.42.12.02.12.62.72.62.81.92.53.82.72.52.73.82.72.42.12.22.8,3.8,2.6,1.9
08,1.91.61.71.92.32.72.62.72.11.73.13.72.83.85.04.42.84.42.22.43.02.71.91.0,5.0,2.6,1.0
09,0.61.62.42.72.32.02.12.02.22.83.52.92.71.81.43.03.43.02.51.81.91.81.61.9,3.5,2.2,0.6
10,2.32.41.90.80.60.73.00.70.61.01.50.40.91.71.52.92.72.92.62.31.72.42.01.0,3.0,1.7,0.4
11,0.51.52.73.53.22.01.42.01.52.52.31.32.43.63.93.53.63.53.94.03.83.63.55.2,5.2,2.8,0.5
12,5.45.15.57.17.37.76.57.74.54.33.63.33.12.83.73.14.23.14.53.72.72.33.32.9,7.7,4.4,2.3
13,2.92.73.33.31.61.51.11.53.62.52.92.92.11.30.90.50.40.50.40.31.01.60.70.2,3.6,1.6,0.2
14,0.81.40.92.01.61.62.11.62.51.61.82.62.32.52.11.72.31.72.11.01.50.91.31.4,2.6,1.8,0.8
15,1.21.61.12.23.64.73.34.73.74.34.52.61.72.82.71.91.71.90.21.02.12.63.43.2,5.4,2.6,0.1
16,2.82.22.93.12.52.03.22.01.71.41.61.81.71.40.91.32.01.35.45.26.17.66.88.1,8.1,3.4,0.9
17,8.37.86.66.35.65.85.95.86.07.17.77.87.26.87.67.06.07.06.47.47.07.78.08.7,8.7,7.0,5.5
18,7.87.88.48.67.86.66.46.67.27.87.57.67.45.94.95.04.75.04.94.73.43.33.23.3,8.6,6.1,3.2
19,3.12.94.04.32.82.53.72.53.12.21.50.70.80.61.62.52.72.52.32.72.52.32.32.7,4.3,2.4,0.6
20,2.62.21.92.02.63.03.43.01.23.12.82.01.41.22.33.86.03.85.75.22.83.33.35.9,6.4,3.2,1.2
21,6.35.65.85.55.14.83.74.84.33.33.95.14.93.13.94.75.24.75.85.55.86.910.89.1,10.8,5.3,3.1
22,7.06.56.57.36.76.96.16.95.34.95.15.85.36.65.45.45.15.44.64.34.24.24.03.3,7.3,5.5,3.3
23,2.81.71.92.11.92.13.02.13.12.72.22.02.02.93.23.14.63.13.23.52.82.01.41.5,4.6,2.6,1.4
24,1.11.31.21.71.91.91.91.91.60.21.12.01.61.82.42.93.12.93.82.82.32.01.11.2,3.8,1.9,0.2
25,1.32.72.43.03.03.21.43.22.42.22.63.13.22.72.22.53.32.54.92.03.07.27.67.2,7.6,3.2,1.3
26,6.23.43.64.07.813.713.113.711.98.25.16.56.17.66.85.75.35.75.23.74.23.26.27.5,13.9,6.9,3.2
27,8.08.29.99.59.18.78.88.78.35.42.46.68.811.113.011.011.111.07.56.27.27.49.38.5,13.0,8.4,2.4
28,7.16.76.77.27.86.76.86.77.48.510.714.110.310.88.110.18.210.18.56.84.65.24.95.7,14.1,7.8,4.6
29,5.25.04.84.44.34.03.94.02.03.23.12.33.03.35.611.07.911.08.79.86.46.96.97.0,11.0,5.4,2.0
30,5.56.36.56.15.05.64.55.62.52.72.83.14.05.04.84.94.94.94.54.95.04.95.83.9,6.5,4.7,2.5
TOTAL,3.83.63.84.03.94.24.24.23.93.83.94.13.84.04.14.34.24.34.33.93.74.04.24.2,6.9,4.0,1.8
