어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(활)우럭,통영,3미,kg,26.5,1.0,"26,000","24,000","25,100"
(활)우럭,안흥,4미,kg,57.2,1.0,"33,000","22,000","28,000"
(활)우럭,격포,2미,kg,4.1,1.0,"21,000","21,000","21,000"
(활)우럭,대부도,7미,kg,5.3,1.0,"16,000","16,000","16,000"
(활)우럭,목포,3/4미,kg,14.8,1.0,"26,000","20,000","23,600"
(활)우럭,여수,6미,kg,15.1,1.0,"25,000","25,000","25,000"
(활)우럭,목포,3미,kg,1.3,1.0,"4,000","4,000","4,000"
(활)우럭,대진,10미,kg,8.4,1.0,"3,500","3,500","3,500"
(활)우럭,대부도,8미,kg,11.2,1.0,"19,000","17,000","18,000"
(활)우럭,완도,5미,kg,6.9,1.0,"22,000","22,000","22,000"
(활)우럭,대부도,10미,kg,28.7,1.0,"17,000","11,000","14,000"
(활)우럭,대부도,1미,kg,40.4,1.0,"28,000","10,000","13,200"
(활)우럭,대부도,5미,kg,9.9,1.0,"30,000","20,000","26,000"
(활)우럭,안흥,2미,kg,4,1.0,"26,000","26,000","26,000"
(활)우럭,여수,4미,kg,163.6,1.0,"23,000","5,000","14,000"
(활)우럭,태안,8미,kg,68.8,1.0,"20,000","12,000","15,900"
(활)우럭,통영,30미,kg,9.3,1.0,"26,000","26,000","26,000"
(활)우럭,목포,중,kg,15.4,1.0,"28,000","12,000","20,900"
(활)우럭,목포,2미,kg,11.1,1.0,"21,000","11,000","15,100"
(활)우럭,격포,7미,kg,11.5,1.0,"21,000","21,000","21,000"
(활)우럭,격포,4미,kg,3.5,1.0,"15,000","15,000","15,000"
(활)우럭,격포,5미,kg,10.5,1.0,"4,000","4,000","4,000"
(활)우럭,통영,5/6미,kg,9.9,1.0,"25,000","25,000","25,000"
(활)우럭,완도,1미,kg,36.3,1.0,"31,000","3,000","19,100"
(활)우럭,완도,4미,kg,21.6,1.0,"30,000","19,000","26,700"
(활)우럭,통영,20미,kg,11.4,1.0,"23,000","23,000","23,000"
(활)우럭,통영,10미,kg,151.4,1.0,"26,000","23,000","24,900"
(활)우럭,완도,3미,kg,44.4,1.0,"36,500","8,500","29,400"
(활)우럭,여수,5미,kg,20.3,1.0,"30,000","28,000","29,000"
(활)우럭,격포,4/5미,kg,84.3,1.0,"39,000","23,000","28,900"
(활)우럭,격포,5/6미,kg,249.3,1.0,"27,000","3,500","10,800"
(활)우럭,제주도,중,kg,39.8,1.0,"26,500","24,000","25,600"
(활)우럭,완도,2미,kg,54.4,1.0,"42,000","12,000","34,400"
(활)우럭,여수,1미,kg,182.4,1.0,"35,000","8,000","20,100"
(활)우럭,통영,중,kg,"1,753.7",1.0,"26,500","3,000","16,200"
(활)우럭,통영,7미,kg,12.9,1.0,"26,000","25,000","25,500"
(활)우럭,대부도,4미,kg,34,1.0,"35,000","25,000","31,400"
(활)우럭,통영,10/11미,kg,96.9,1.0,"26,000","25,000","25,900"
(활)우럭,안흥,5미,kg,47.3,1.0,"26,000","11,000","20,600"
(활)우럭,서산,중,kg,8,1.0,"13,000","11,000","11,900"
(활)우럭,대부도,4/5미,kg,97.8,1.0,"35,000","24,000","26,000"
(활)우럭,당진,10/11미,kg,91.3,1.0,"18,000",800,"9,500"
(활)우럭,완도,중,kg,58.9,1.0,"25,000","10,000","15,700"
(활)우럭,목포,1미,kg,32.7,1.0,"35,000","15,000","31,900"
(활)우럭,통영,5미,kg,47.9,1.0,"26,000","23,000","24,700"
(활)우럭,통영,1미,kg,31.4,1.0,"26,000","10,600","24,200"
(활)우럭,안흥,1미,kg,23.9,1.0,"31,000","18,000","26,700"
(활)우럭,안흥,3미,kg,3.5,1.0,"18,000","18,000","18,000"
(활)우럭,통영,4미,kg,9.4,1.0,"26,000","26,000","26,000"
(활)우럭,통영,9미,kg,10.9,1.0,"23,000","23,000","23,000"
(활)우럭,태안,5미,kg,82.2,1.0,"29,000","23,000","23,900"
(활)우럭,완도,6/7미,kg,7.3,1.0,"20,000","5,000","12,600"
(활)우럭,안흥,3/4미,kg,35.4,1.0,"40,000","28,000","33,900"
(활)우럭,격포,10미,kg,44.8,1.0,"4,000","4,000","4,000"
(활)우럭,통영,6미,kg,21.9,1.0,"26,000","26,000","26,000"
(활)우럭,목포,4미,kg,6,1.0,"33,000","33,000","33,000"
(선)우럭,속초,8미,S/P,7,10.0,"30,000","30,000","30,000"
(선)우럭,대부도,25미,S/P,1,20.0,"238,000","238,000","238,000"
(선)우럭,남해,10미,S/P,39,10.0,"18,000","10,000","12,400"
(선)우럭,통영,1미,kg,40,1.0,"13,000","13,000","13,000"
(선)우럭,속초,12미,S/P,31,10.0,"23,000","18,000","20,700"
(선)우럭,속초,대,S/P,8,10.0,"10,000","10,000","10,000"
(선)우럭,완도,1미,kg,15.6,1.0,"9,000","9,000","9,000"
(선)우럭,대부도,40미,kg,12,1.0,"11,000","11,000","11,000"
(선)우럭,서천,중,kg,7,1.0,"12,000","12,000","12,000"
(선)우럭,대부도,2미,S/P,1,7.5,"120,000","120,000","120,000"
(선)우럭,속초,중,kg,187.7,1.0,"12,000","12,000","12,000"
(선)우럭,남해,8미,S/P,48,10.0,"25,000","13,000","16,300"
(선)우럭,대부도,5미,kg,12,1.0,"13,000","13,000","13,000"
(선)우럭,서천,1미,kg,5.2,1.0,"11,000","8,000","10,400"
(선)우럭,고성,20미,kg,124.4,1.0,"1,700","1,700","1,700"
(선)우럭,남해,5미,S/P,65,10.0,"25,000","15,000","20,700"
(선)우럭,속초,12미,S/P,30,1.0,"15,000","15,000","15,000"
(선)우럭,속초,9미,S/P,32,10.0,"22,000","20,000","20,100"
(선)우럭,속초,12미,S/P,61,15.0,"18,000","18,000","18,000"
(선)우럭,대부도,35미,kg,55.4,1.0,"6,500","5,500","6,300"
(선)우럭,태안,1미,kg,51.3,1.0,"11,000","11,000","11,000"
(선)우럭,완도,40미,kg,25,1.0,"10,000","10,000","10,000"
(선)우럭,통영,중,kg,168.2,1.0,"13,000","12,500","12,600"
(선)우럭,남해,7미,S/P,10,10.0,"18,000","15,000","17,400"
(선)우럭,완도,5/6미,kg,28,1.0,"10,000","6,000","7,400"
(선)우럭,대부도,1미,kg,55,1.0,"5,500","4,500","5,000"
(선)우럭,목포,2/3미,kg,7.2,1.0,"10,000","10,000","10,000"
(선)우럭,남해,15미,S/P,3,10.0,"10,000","10,000","10,000"
(선)우럭,제주도,20미,S/P,1,6.0,"48,000","48,000","48,000"
(선)우럭,완도,중,kg,27.1,1.0,"10,000","8,000","9,700"
(선)우럭,태안,7미,kg,11.7,1.0,"12,000","12,000","12,000"
(선)우럭,대천,1미,kg,5.9,1.0,"14,000","14,000","14,000"
(선)우럭,남해,12미,S/P,37,10.0,"10,000","10,000","10,000"
(선)우럭,서천,10/11미,S/P,7.7,1.0,"12,000","12,000","12,000"
(선)우럭,남해,6미,S/P,29,10.0,"25,000","23,000","24,100"
(선)우럭,속초,12미,S/P,116,5.0,"14,000","12,000","12,900"
(냉)우럭,제주도,10/20미,S/P,1,12.0,"70,000","70,000","70,000"
(활)우럭조개,여수,8미,box,528,1.0,"11,500","3,300","8,500"
(활)우럭조개,여수,11미,미(마리),11,1.0,"3,300","3,300","3,300"
(활)우럭조개,통영,15미,box,15,1.0,"5,000","5,000","5,000"
(활)우럭조개,통영,11미,box,22,1.0,"7,000","4,500","5,800"
(활)우럭조개,여수,15미,box,120,1.0,"5,500","2,500","3,500"
(활)우럭조개,여수,8미,미(마리),584,1.0,"13,000","6,500","9,400"
(활)우럭조개,여수,17미,미(마리),34,1.0,"4,000","1,600","2,800"
(활)우럭조개,여수,7미,미(마리),476,1.0,"14,300","8,200","11,300"
(활)우럭조개,통영,7미,box,98,1.0,"12,500","9,000","11,000"
(활)우럭조개,통영,8미,box,248,1.0,"12,500","7,300","9,700"
(활)우럭조개,통영,14미,box,28,1.0,"8,700","8,100","8,400"
(활)우럭조개,여수,9미,box,63,1.0,"5,100","5,100","5,100"
(활)우럭조개,여수,16미,box,16,1.0,"4,500","4,500","4,500"
(활)우럭조개,여수,6미,box,48,1.0,"9,300","3,000","8,300"
(활)우럭조개,통영,12미,box,108,1.0,"6,000","2,700","4,300"
(활)우럭조개,여수,9미,미(마리),162,1.0,"9,600","4,500","7,100"
(활)우럭조개,여수,10미,box,110,1.0,"8,800","2,500","6,600"
(활)우럭조개,여수,7미,box,574,1.0,"15,100","3,500","10,700"
(활)우럭조개,여수,6미,미(마리),48,1.0,"12,500","11,500","12,100"
(활)우럭조개,여수,10미,미(마리),120,1.0,"11,000","3,000","6,400"
(활)우럭조개,통영,9미,box,189,1.0,"12,100","6,100","8,100"
(활)우럭조개,통영,10미,box,110,1.0,"9,100","3,500","6,500"
