일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,8.9,8.8,8.7,8.7,8.6,8.5,8.7,8.5,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.6,8.5,8.6,8.6,8.6,8.7,8.7,8.7,8.7,8.9,8.7,8.5
02,8.7,8.7,8.6,8.6,8.6,8.5,8.5,8.5,8.5,8.5,8.6,8.6,8.6,8.6,8.6,8.6,8.5,8.6,8.4,8.4,8.4,8.5,8.4,8.4,8.7,8.5,8.3
03,8.5,8.5,8.5,8.4,8.4,8.4,8.2,8.4,8.4,8.3,8.3,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.3,8.4,8.4,8.4,8.4,8.3,8.5,8.4,8.2
04,8.4,8.4,8.4,8.4,8.4,8.4,8.3,8.4,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.4,8.4,8.3,8.3,8.3,8.2,8.3,8.3,8.4,8.3,8.2
05,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.2,8.3,8.3,8.2,8.3,8.3,8.3,8.3,8.3,8.3,8.2,8.1,8.0,8.0,8.1,8.1,8.3,8.2,8.0
06,8.1,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.0,8.0,8.1,8.0,8.0,8.1,8.1,8.1,8.1,8.1,8.1,8.1,7.9,8.0,8.0,8.2,8.2,8.1,7.9
07,8.2,8.0,8.0,8.0,8.0,7.9,7.8,7.9,7.6,7.6,7.5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.4,7.3,7.3,7.3,7.2,7.2,8.2,7.6,7.2
08,7.1,7.2,7.2,7.3,7.3,7.3,7.2,7.3,7.1,7.1,7.0,6.9,6.9,6.9,7.0,7.0,7.1,7.0,7.1,7.1,7.0,7.1,7.0,6.9,7.3,7.1,6.9
09,6.9,7.0,7.0,6.9,7.0,7.0,6.9,7.0,6.8,6.7,6.7,6.6,6.5,6.6,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.8,6.8,6.7,7.0,6.8,6.5
10,6.7,6.6,6.6,6.7,6.7,6.8,6.8,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.4,6.5,6.7,6.5,6.6,6.7,6.7,6.7,6.6,6.6,6.8,6.6,6.3
