어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가
(선)백조기,목포,10미,S/P,8.0,10.0,"20,000","20,000","20,000"
(선)백조기,나로도,3단,S/P,1.0,10.0,"11,000","11,000","11,000"
(선)백조기,나로도,17미,S/P,1.0,10.0,"11,000","11,000","11,000"
(선)백조기,목포,4미,kg,1.0,1.0,"4,000","4,000","4,000"
(선)백조기,나로도,12미,S/P,73.0,10.0,"40,000","8,000","16,800"
(선)백조기,나로도,소,S/P,30.0,10.0,"14,000","5,000","10,600"
(선)백조기,남해,소,S/P,10.0,10.0,"12,000","4,000","6,400"
(선)백조기,남해,대,S/P,1.0,10.0,"3,000","3,000","3,000"
(선)백조기,나로도,대,S/P,2.0,10.0,"22,000","12,000","17,000"
(선)백조기,남해,10미,S/P,5.0,10.0,"15,000","10,000","11,000"
(선)백조기,목포,5미,S/P,1.0,10.0,"40,000","40,000","40,000"
(선)백조기,나로도,16미,S/P,7.0,10.0,"22,000","13,000","15,100"
(선)백조기,나로도,바라,S/P,11.0,10.0,"7,000","7,000","7,000"
(선)백조기,나로도,15미,S/P,43.0,10.0,"28,000","9,000","12,400"
(선)백조기,목포,14미,S/P,11.0,10.0,"16,000","16,000","16,000"
(선)백조기,나로도,24미,S/P,18.0,10.0,"22,000","10,000","18,300"
(선)백조기,목포,9미,S/P,5.0,10.0,"23,000","23,000","23,000"
(선)백조기,나로도,8미,S/P,169.0,10.0,"47,000","11,000","18,800"
(선)백조기,목포,6미,S/P,11.0,10.0,"35,000","35,000","35,000"
(선)백조기,목포,중,kg,2.0,2.0,"4,000","4,000","4,000"
(선)백조기,나로도,14미,S/P,50.0,10.0,"23,000","10,000","12,300"
(선)백조기,남해,15미,S/P,31.0,10.0,"12,000","6,000","9,000"
(선)백조기,남해,4미,S/P,1.0,10.0,"15,000","15,000","15,000"
(선)백조기,남해,12미,S/P,16.0,10.0,"13,000","12,000","12,300"
(선)백조기,목포,12미,S/P,8.0,10.0,"16,000","16,000","16,000"
(선)백조기,나로도,18미,S/P,22.0,10.0,"28,000","7,000","15,400"
(선)백조기,나로도,6미,S/P,136.0,10.0,"50,000","11,000","20,100"
(선)백조기,목포,3단,S/P,1.0,10.0,"15,000","15,000","15,000"
(선)백조기,서산,대,S/P,5.0,5.0,"10,000","8,000","9,200"
(선)백조기,나로도,30미,S/P,17.0,10.0,"22,000","10,000","16,100"
(선)백조기,나로도,5미,S/P,33.0,10.0,"52,000","12,000","22,700"
(선)백조기,나로도,2단,S/P,2.0,10.0,"15,000","15,000","15,000"
(선)백조기,나로도,7미,S/P,162.0,10.0,"50,000","10,000","16,900"
(선)백조기,안흥,중,kg,21.5,1.0,"5,000","5,000","5,000"
(선)백조기,나로도,9미,S/P,49.0,10.0,"50,000","8,000","16,000"
(선)백조기,남해,6미,S/P,3.0,10.0,"25,000","20,000","21,700"
(선)백조기,서산,10미,kg,5.0,3.0,"25,000","12,000","19,800"
(선)백조기,나로도,10미,S/P,78.0,10.0,"50,000","10,000","20,200"
(선)백조기,나로도,26미,S/P,1.0,10.0,"20,000","20,000","20,000"
(선)백조기,목포,7미,S/P,9.0,10.0,"30,000","30,000","30,000"
(선)백조기,목포,8미,S/P,9.0,10.0,"25,000","25,000","25,000"
(선)백조기,서산,12미,kg,1.0,3.0,"8,000","8,000","8,000"
(선)백조기,목포,대,S/P,5.0,20.0,"13,000","13,000","13,000"
(선)백조기,나로도,20미,S/P,4.0,10.0,"22,000","10,000","14,500"
(선)백조기,나로도,13미,S/P,1.0,10.0,"13,000","13,000","13,000"
(선)백조기,서산,대,S/P,1.0,20.0,"175,000","175,000","175,000"
(선)백조기,남해,8미,S/P,4.0,10.0,"25,000","10,000","16,300"
(냉)백조기,나로도,8미,S/P,9.0,10.0,"8,000","8,000","8,000"
(냉)백조기,나로도,5미,S/P,7.0,10.0,"8,000","8,000","8,000"
(냉)백조기,나로도,6미,S/P,21.0,10.0,"8,000","8,000","8,000"
(냉)백조기,나로도,9미,S/P,5.0,10.0,"8,000","8,000","8,000"
(냉)백조기,나로도,7미,S/P,14.0,10.0,"8,000","8,000","8,000"
(선)수조기,완도,2미,kg,1.5,1.0,"2,000","2,000","2,000"
(선)수조기,나로도,5미,S/P,1.0,10.0,"27,000","27,000","27,000"
(선)수조기,나로도,대,S/P,1.0,5.5,"38,000","38,000","38,000"
(선)수조기,나로도,3미,S/P,3.0,10.0,"30,000","20,000","25,000"
(선)수조기,나로도,6미,S/P,3.0,10.0,"37,000","37,000","37,000"
(선)수조기,나로도,대,S/P,1.0,10.0,"32,000","32,000","32,000"
(선)수조기,목포,대,S/P,14.5,1.0,"8,000","8,000","8,000"
(선)수조기,나로도,4미,S/P,3.0,10.0,"40,000","32,000","37,300"
(냉)조기,중국,40미,CT/(BT),55.0,4.0,"48,300","48,000","48,000"
(냉)조기,중국,60미,CT/(BT),30.0,4.0,"30,300","30,300","30,300"
(냉)조기,중국,70미,CT/(BT),55.0,9.0,"157,200","156,700","156,700"
(냉)조기,중국,33미,CT/(BT),20.0,3.5,"51,200","51,200","51,200"
