일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,4.55.03.95.46.26.66.46.65.85.24.12.91.80.80.90.60.70.62.83.54.64.74.63.6,6.6,3.8,0.6
02,2.82.52.92.62.54.04.34.04.03.93.93.94.33.12.92.72.42.72.42.33.02.62.43.2,4.3,3.1,2.3
03,4.02.53.03.42.32.93.02.93.22.41.52.73.23.33.54.44.04.44.33.42.22.14.66.9,6.9,3.4,1.5
04,7.59.18.78.48.39.48.89.47.67.06.66.34.93.23.24.85.24.84.54.63.22.82.65.3,9.4,6.0,2.6
05,6.98.49.08.88.68.55.68.54.34.03.22.61.95.56.26.06.66.06.55.04.32.72.32.0,9.0,5.4,1.9
06,2.32.43.03.12.31.92.11.92.03.09.38.77.77.77.99.17.99.16.16.17.68.28.38.3,9.3,5.6,1.9
07,7.45.74.45.28.49.18.49.16.16.65.55.55.76.46.47.06.87.06.76.35.65.95.86.5,9.1,6.5,4.4
08,6.14.94.64.02.20.81.60.81.61.12.32.52.71.62.63.63.03.62.61.70.40.71.31.3,6.1,2.4,0.4
09,1.01.21.71.51.61.41.51.41.62.52.11.11.41.50.80.61.90.62.72.73.72.42.10.5,3.7,1.7,0.5
10,0.90.90.80.80.91.61.91.62.20.80.51.50.71.63.22.61.72.61.40.60.60.40.61.1,3.2,1.3,0.4
11,1.40.60.31.81.65.85.65.85.15.85.54.35.25.34.55.16.65.15.24.44.93.61.62.5,6.6,4.1,0.3
12,2.62.41.31.71.71.72.51.71.21.51.81.51.01.12.12.32.42.31.71.82.83.45.96.1,6.1,2.3,1.0
13,4.43.54.54.34.44.23.84.23.44.24.14.65.54.84.85.45.25.46.25.86.66.67.07.9,7.9,5.0,3.3
14,8.19.611.010.69.19.28.29.23.63.12.62.01.81.41.24.14.14.11.82.02.82.93.23.4,11.0,4.9,1.2
15,2.52.82.12.32.62.63.42.63.64.34.03.63.94.95.34.64.64.65.06.58.49.39.18.0,9.3,4.6,2.1
16,8.07.98.47.15.96.15.86.16.96.55.85.02.31.31.22.02.52.04.34.54.05.46.64.9,8.4,5.1,1.2
17,3.93.22.72.12.62.92.02.95.311.011.96.13.32.31.83.86.13.82.82.82.62.72.62.6,11.9,4.0,1.8
18,2.72.42.42.73.03.73.73.73.13.34.83.63.02.41.11.51.01.52.51.72.02.02.43.0,4.8,2.7,1.0
19,3.03.03.12.72.92.32.52.32.72.83.33.23.43.62.93.02.73.01.21.72.52.02.03.7,3.7,2.7,1.2
20,3.93.73.42.93.43.93.63.93.93.53.33.03.22.73.22.41.82.42.22.32.32.21.61.9,4.1,2.9,1.6
21,1.52.73.62.22.81.91.31.92.41.71.92.20.50.50.34.64.24.64.84.35.97.37.08.7,8.7,3.2,0.3
22,10.18.38.47.56.68.28.58.28.39.18.79.99.69.59.710.612.210.612.714.815.914.710.89.1,15.9,10.2,6.6
23,9.411.212.212.814.312.013.912.09.69.18.88.58.511.112.111.812.711.812.412.38.99.37.06.3,14.3,10.7,6.3
24,5.95.93.23.83.82.93.52.93.94.83.52.31.11.53.12.71.82.70.63.04.44.72.82.3,5.9,3.2,0.6
25,2.52.42.31.81.92.01.52.02.21.81.70.90.51.01.45.16.15.15.85.14.03.61.90.6,6.2,2.7,0.5
26,0.91.01.20.81.01.10.91.10.71.92.52.82.51.50.80.90.70.91.00.90.70.80.50.5,2.8,1.1,0.4
27,0.30.51.31.71.10.91.10.91.31.82.21.42.52.61.70.50.00.51.10.90.91.51.52.2,2.6,1.3,0.0
28,1.71.60.61.21.62.02.62.02.02.04.55.04.64.13.22.21.72.24.74.14.54.43.12.1,5.0,2.9,0.6
29,1.71.82.02.31.42.01.32.01.51.62.02.72.31.91.92.72.82.71.51.50.90.91.11.5,2.8,1.8,0.9
30,1.31.52.21.41.41.21.61.21.61.51.21.31.40.60.61.21.91.22.22.72.93.63.24.0,4.0,1.9,0.6
31,2.02.52.71.51.52.41.52.41.61.32.22.11.52.62.43.02.93.01.40.80.51.81.61.6,3.0,1.9,0.5
TOTAL,3.93.93.93.83.84.03.94.03.63.84.03.73.33.33.33.94.03.93.93.94.04.03.83.9,6.9,3.8,1.6
